"","X","AccSpeciesName","cleanedPlantName","LeafLength","maxLeafLength","meanLeafLength","minLeafLength","LeafArea","maxLeafArea","meanLeafArea","minLeafArea"
"88",359,"Buxus spp.","Buxus",NA,NA,NA,NA,NA,NA,NA,NA
"89",296,"California live oak","California live oak",NA,NA,NA,NA,NA,NA,NA,NA
"90",293,"California-laurel","California laurel",NA,NA,NA,NA,NA,NA,NA,NA
"91",315,"Callery pear","Callery pear",NA,NA,NA,NA,NA,NA,NA,NA
"92",222,"Callicarpa americana","Callicarpa americana","LeafLength",162.4,102.783333333333,47.7,"LeafArea",9152,4202.11666666667,916
"93",286,"Calycanthus sp.","Calycanthus",NA,NA,NA,NA,NA,NA,NA,NA
"94",229,"Camellia spp.","Camellia",NA,NA,NA,NA,NA,NA,NA,NA
"95",452,"Camptotheca spp.","Camptotheca",NA,NA,NA,NA,NA,NA,NA,NA
"96",336,"Canyon grape","Canyon grape",NA,NA,NA,NA,NA,NA,NA,NA
"97",154,"Carolina ash","Carolina ash",NA,NA,NA,NA,NA,NA,NA,NA
"98",426,"Carolina cherry laurel","Carolina cherry laurel",NA,NA,NA,NA,NA,NA,NA,NA
"99",110,"Carolina hemlock","Carolina hemlock",NA,NA,NA,NA,NA,NA,NA,NA
"100",412,"Carolina laurel cherry","Carolina laurel cherry",NA,NA,NA,NA,NA,NA,NA,NA
"101",445,"Carolina laurelcherry","Carolina laurelcherry",NA,NA,NA,NA,NA,NA,NA,NA
"102",160,"Carolina silverbell","Carolina silverbell",NA,NA,NA,NA,NA,NA,NA,NA
"103",371,"Carpinus spp.","Carpinus",NA,NA,NA,NA,NA,NA,NA,NA
"104",232,"Catalpa spp.","Catalpa",NA,NA,NA,NA,NA,NA,NA,NA
"105",204,"Catawba rhododendron","Catawba rhododendron",NA,NA,NA,NA,NA,NA,NA,NA
"106",407,"Catberry","Catberry",NA,NA,NA,NA,NA,NA,NA,NA
"107",149,"Chalk maple","Chalk maple",NA,NA,NA,NA,NA,NA,NA,NA
"108",284,"Cherry","Cherry",NA,NA,NA,NA,NA,NA,NA,NA
"109",31,"Cherry and plum spp.","Cherry and plum",NA,NA,NA,NA,NA,NA,NA,NA
"110",333,"Cherry laurel","Cherry laurel",NA,NA,NA,NA,NA,NA,NA,NA
"111",414,"Cherry spp.","Cherry",NA,NA,NA,NA,NA,NA,NA,NA
"112",248,"Cherrybark oak","Cherrybark oak",NA,NA,NA,NA,NA,NA,NA,NA
"113",82,"Chestnut oak","Chestnut oak",NA,NA,NA,NA,NA,NA,NA,NA
"114",324,"Chinese chestnut","Chinese chestnut",NA,NA,NA,NA,NA,NA,NA,NA
"115",233,"Chinese evergreen oak","Chinese evergreen oak",NA,NA,NA,NA,NA,NA,NA,NA
"116",430,"Chinese holly","Chinese holly",NA,NA,NA,NA,NA,NA,NA,NA
"117",433,"Chinese privet","Chinese privet",NA,NA,NA,NA,NA,NA,NA,NA
"118",195,"Chinese quince","Chinese quince",NA,NA,NA,NA,NA,NA,NA,NA
"119",220,"Chinese tallowtree","Chinese tallowtree",NA,NA,NA,NA,NA,NA,NA,NA
"120",9,"Chokecherry","Chokecherry",NA,NA,NA,NA,NA,NA,NA,NA
"121",228,"Clerya spp.","Clerya",NA,NA,NA,NA,NA,NA,NA,NA
"122",239,"Coastal azalea","Coastal azalea",NA,NA,NA,NA,NA,NA,NA,NA
"123",459,"Cockspur hawthorn","Cockspur hawthorn",NA,NA,NA,NA,NA,NA,NA,NA
"124",15,"Common buckthorn","Common buckthorn",NA,NA,NA,NA,NA,NA,NA,NA
"125",298,"Common buttonbush","Common buttonbush",NA,NA,NA,NA,NA,NA,NA,NA
"126",436,"Common gardenia","Common gardenia",NA,NA,NA,NA,NA,NA,NA,NA
"127",272,"Common ninebark","Common ninebark",NA,NA,NA,NA,NA,NA,NA,NA
"128",84,"Common persimmon","Common persimmon",NA,NA,NA,NA,NA,NA,NA,NA
"129",320,"Common privet","Common privet",NA,NA,NA,NA,NA,NA,NA,NA
"130",80,"Common serviceberry","Common serviceberry",NA,NA,NA,NA,NA,NA,NA,NA
"131",246,"Common spicebush","Common spicebush",NA,NA,NA,NA,NA,NA,NA,NA
"132",190,"Cornelian-cherry dogwood","Cornelian-cherry dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"133",128,"Cornus mas","Cornus mas","LeafLength",10,7,4,"LeafArea",2844.5,1155.50666666667,405.8
"134",36,"Cornus stolonifera","Cornus stolonifera",NA,NA,NA,NA,NA,NA,NA,NA
"135",497,"Cottonwood and poplar spp.","Cottonwood and poplar",NA,NA,NA,NA,NA,NA,NA,NA
"136",318,"Crab apple sp","Malus",NA,NA,NA,NA,NA,NA,NA,NA
"137",70,"Crepe myrtle","Crapemyrtle",NA,NA,NA,NA,NA,NA,NA,NA
"138",469,"Crepe myrtle spp.","Crepe myrtle",NA,NA,NA,NA,NA,NA,NA,NA
"139",158,"Cucumber magnolia","Cucumber magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"140",479,"Cypress spp.","Cypress",NA,NA,NA,NA,NA,NA,NA,NA
"141",341,"Cyrilla racemiflora","Cyrilla racemiflora","LeafLength",98.6,81.88,65.8,"LeafArea",2925,1361.38431780938,578
"142",14,"Dogwood spp.","Dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"143",152,"Dwarf pawpaw","Dwarf pawpaw",NA,NA,NA,NA,NA,NA,NA,NA
"144",481,"Eastern cottonwood","Eastern cottonwood",NA,NA,NA,NA,NA,NA,NA,NA
"145",205,"Eastern hemlock","Eastern hemlock",NA,NA,NA,NA,NA,NA,NA,NA
"146",113,"Eastern hophornbeam","Eastern hophornbeam",NA,NA,NA,NA,NA,NA,NA,NA
"147",68,"Eastern redbud","Eastern redbud",NA,NA,NA,NA,NA,NA,NA,NA
"148",384,"Eastern sweet shrub","Eastern sweetshrub",NA,NA,NA,NA,NA,NA,NA,NA
"149",206,"Eastern white pine","Eastern white pine",NA,NA,NA,NA,NA,NA,NA,NA
"150",378,"Edgeworthia chrysantha","Edgeworthia chrysantha",NA,NA,NA,NA,NA,NA,NA,NA
"151",208,"Elderberry","Elderberry",NA,NA,NA,NA,NA,NA,NA,NA
"152",480,"Elderberry spp.","Elderberry",NA,NA,NA,NA,NA,NA,NA,NA
"153",356,"Elm","Elm",NA,NA,NA,NA,NA,NA,NA,NA
"154",55,"Elm spp.","Elm",NA,NA,NA,NA,NA,NA,NA,NA
"155",454,"Eriobotrya japonica","Eriobotrya japonica","LeafLength",30,25,20,"LeafArea",9056,9056,9056
"156",388,"Euonymus alatus","Euonymus alatus","LeafLength",60,22.4166666666667,2,"LeafArea",20010,1860.78904761905,678.48
"157",418,"Euonymus japonicus","Euonymus japonicus","LeafLength",12,6.28571428571429,2,NA,NA,NA,NA
"158",325,"European beech","European beech",NA,NA,NA,NA,NA,NA,NA,NA
"159",492,"European horse chestnut","European horse chestnut",NA,NA,NA,NA,NA,NA,NA,NA
"160",196,"European spindletree","European spindletree",NA,NA,NA,NA,NA,NA,NA,NA
"161",145,"Fagus sylvatica","Fagus sylvatica","LeafLength",9,6.5,4,"LeafArea",7428,1964.30801618548,247
"162",314,"Fanleaf hawthorn","Fanleaf hawthorn",NA,NA,NA,NA,NA,NA,NA,NA
"163",372,"Feijoa sellowiana","Feijoa sellowiana",NA,NA,NA,NA,NA,NA,NA,NA
"164",370,"Ficus spp.","Ficus",NA,NA,NA,NA,NA,NA,NA,NA
"165",331,"Fig","Fig",NA,NA,NA,NA,NA,NA,NA,NA
"166",434,"Fishpole bamboo","Fishpole bamboo",NA,NA,NA,NA,NA,NA,NA,NA
"167",243,"Florida azalea","Florida azalea",NA,NA,NA,NA,NA,NA,NA,NA
"168",292,"Florida forestiera","Florida forestiera",NA,NA,NA,NA,NA,NA,NA,NA
"169",73,"Florida maple","Florida maple",NA,NA,NA,NA,NA,NA,NA,NA
"170",46,"Flowering dogwood","Flowering dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"171",171,"Forsythia","Forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"172",396,"Forsythia spp.","Forsythia",NA,NA,NA,NA,NA,NA,NA,NA
"173",194,"Fragrant wintersweet","Fragrant wintersweet",NA,NA,NA,NA,NA,NA,NA,NA
"174",277,"Frangula alnus","Frangula alnus","LeafLength",7,4.5,2,"LeafArea",5360.37,2272.32630769333,120.5038462
"175",468,"Franklin tree","Franklin tree",NA,NA,NA,NA,NA,NA,NA,NA
"176",311,"Fraser magnolia","Fraser's magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"177",477,"Fremont cottonwood","Fremont cottonwood",NA,NA,NA,NA,NA,NA,NA,NA
"178",153,"Fringetree","Fringetree",NA,NA,NA,NA,NA,NA,NA,NA
"179",394,"Gardenia spp.","Gardenia",NA,NA,NA,NA,NA,NA,NA,NA
"180",165,"Gaylussacia baccata","Gaylussacia baccata",NA,NA,NA,NA,NA,NA,NA,NA
"181",48,"Ginkgo","Ginkgo",NA,NA,NA,NA,NA,NA,NA,NA
"182",226,"Golden rain tree","Golden rain tree",NA,NA,NA,NA,NA,NA,NA,NA
"183",362,"Gray birch","Gray birch",NA,NA,NA,NA,NA,NA,NA,NA
"184",280,"Great rhododendron","Great rhododendron",NA,NA,NA,NA,NA,NA,NA,NA
"185",416,"Green alder","Green alder",NA,NA,NA,NA,NA,NA,NA,NA
"186",102,"Green ash","Green ash",NA,NA,NA,NA,NA,NA,NA,NA
"187",323,"Grey dogwood","Grey dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"188",432,"Groundsel tree","Groundsel tree",NA,NA,NA,NA,NA,NA,NA,NA
"189",427,"Gum bumelia","Gum bumelia",NA,NA,NA,NA,NA,NA,NA,NA
"190",143,"Hackberry","Hackberry",NA,NA,NA,NA,NA,NA,NA,NA
"191",25,"Hackberry spp.","Hackberry",NA,NA,NA,NA,NA,NA,NA,NA
"192",47,"Halesia tetraptera","Halesia tetraptera",NA,NA,NA,NA,NA,NA,NA,NA
"193",40,"Hamamelis virginiana","Hamamelis virginiana","LeafLength",79.6,53.91,3.7,"LeafArea",8078,3274.17499995,1168
"194",305,"Hawthorn sp.","Hawthorn",NA,NA,NA,NA,NA,NA,NA,NA
"195",91,"Hawthorn spp.","Hawthorn",NA,NA,NA,NA,NA,NA,NA,NA
"196",142,"Hazel alder","Hazel alder",NA,NA,NA,NA,NA,NA,NA,NA
"197",115,"Hazelnut","Hazelnut",NA,NA,NA,NA,NA,NA,NA,NA
"198",406,"Heartleaf birch","Heartleaf birch",NA,NA,NA,NA,NA,NA,NA,NA
"199",431,"Heavenly bamboo","Heavenly bamboo",NA,NA,NA,NA,NA,NA,NA,NA
"200",212,"Hedge maple","Hedge maple",NA,NA,NA,NA,NA,NA,NA,NA
"201",502,"Hibiscus coccineus albus","Hibiscus coccineus albus",NA,NA,NA,NA,NA,NA,NA,NA
"202",504,"Hibiscus moscheutos","Hibiscus moscheutos",NA,NA,NA,NA,NA,NA,NA,NA
"203",29,"Hickory spp.","Hickory",NA,NA,NA,NA,NA,NA,NA,NA
"204",126,"Highbush blueberry","Highbush blueberry",NA,NA,NA,NA,NA,NA,NA,NA
"205",460,"Honey locust","Honey locust",NA,NA,NA,NA,NA,NA,NA,NA
"206",19,"Honey suckle","Honeysuckle",NA,NA,NA,NA,NA,NA,NA,NA
"207",86,"Honeylocust","Honeylocust",NA,NA,NA,NA,NA,NA,NA,NA
"208",111,"Honeysuckle","Honeysuckle",NA,NA,NA,NA,NA,NA,NA,NA
"209",344,"Honeysuckle spp.","Honeysuckle",NA,NA,NA,NA,NA,NA,NA,NA
"210",11,"Hop hornbeam","Hophornbeam",NA,NA,NA,NA,NA,NA,NA,NA
"211",116,"Hop-hornbeam","Hophornbeam",NA,NA,NA,NA,NA,NA,NA,NA
"212",237,"Hornbeam","Hornbeam",NA,NA,NA,NA,NA,NA,NA,NA
"213",217,"Horned maple","Horned maple",NA,NA,NA,NA,NA,NA,NA,NA
"214",486,"Horse chestnut","Horse chestnut",NA,NA,NA,NA,NA,NA,NA,NA
"215",114,"Huckleberry","Huckleberry",NA,NA,NA,NA,NA,NA,NA,NA
"216",279,"Hydrangea","Hydrangea",NA,NA,NA,NA,NA,NA,NA,NA
"217",132,"Hydrangea quercifolia","Hydrangea quercifolia",NA,NA,NA,NA,NA,NA,NA,NA
"218",20,"Hydrangeas","Hydrangea",NA,NA,NA,NA,NA,NA,NA,NA
"219",501,"Ilex ambigua","Ilex ambigua",NA,NA,NA,NA,NA,NA,NA,NA
"220",340,"Ilex glabra","Ilex glabra","LeafLength",49.6,43.1571428571429,35,"LeafArea",955,525.541666666667,326
"221",122,"Ilex verticillata","Ilex verticillata",NA,NA,NA,NA,NA,NA,NA,NA
"222",219,"Ilex vomitoria","Ilex vomitoria","LeafLength",60.8,42.2833333333333,21.8,"LeafArea",1050,581.406666668,167
"223",375,"Illicium spp.","Illicium",NA,NA,NA,NA,NA,NA,NA,NA
"224",72,"Ironwood","Ironwood",NA,NA,NA,NA,NA,NA,NA,NA
"225",363,"Itea virginica","Itea virginica",NA,NA,NA,NA,NA,NA,NA,NA
"226",186,"Japanese apricot","Japanese apricot",NA,NA,NA,NA,NA,NA,NA,NA
"227",463,"Japanese cherry","Japanese cherry",NA,NA,NA,NA,NA,NA,NA,NA
"228",261,"Japanese knotweed","Japanese knotweed",NA,NA,NA,NA,NA,NA,NA,NA
"229",18,"Japanese maple","Japanese maple",NA,NA,NA,NA,NA,NA,NA,NA
"230",183,"Japanese privet","Japanese privet",NA,NA,NA,NA,NA,NA,NA,NA
"231",189,"Japanese snowbell","Japanese snowbell",NA,NA,NA,NA,NA,NA,NA,NA
"232",435,"Japanese spindle tree","Japanese spindle tree",NA,NA,NA,NA,NA,NA,NA,NA
"233",202,"Japanese zelkova","Japanese zelkova",NA,NA,NA,NA,NA,NA,NA,NA
"234",264,"Jetbead","Jetbead",NA,NA,NA,NA,NA,NA,NA,NA
"235",210,"Kalmia latifolia","Kalmia latifolia","LeafLength",71.617,48.896,21.858,"LeafArea",4000,1184.5892929697,82.378
"236",129,"Kalopanax septemlobus","Kalopanax septemlobus","LeafLength",300,300,300,"LeafArea",85000,31510.058936,1800.9
"237",391,"Kentucky yellowwood","Kentucky yellowwood",NA,NA,NA,NA,NA,NA,NA,NA
"238",400,"Koelreuteria paniculata","Koelreuteria paniculata","LeafLength",50,50,50,NA,NA,NA,NA
"239",326,"Kousa dogwood","Kousa dogwood",NA,NA,NA,NA,NA,NA,NA,NA
"240",321,"Kwanzan cherry","Kwanzan cherry",NA,NA,NA,NA,NA,NA,NA,NA
"241",234,"Laurel oak","Laurel oak",NA,NA,NA,NA,NA,NA,NA,NA
"242",428,"Leatherleaf mahonia","Leatherleaf mahonia",NA,NA,NA,NA,NA,NA,NA,NA
"243",343,"Leucothoe axillaris","Leucothoe axillaris",NA,NA,NA,NA,NA,NA,NA,NA
"244",26,"Lilac","Lilac",NA,NA,NA,NA,NA,NA,NA,NA
"245",385,"Lilac spp.","Lilac",NA,NA,NA,NA,NA,NA,NA,NA
"246",255,"Lindera benzoin","Lindera benzoin","LeafLength",15,8.33333333333333,4,"LeafArea",3650,2760.41666675,1560
"247",366,"Littleleaf linden","Littleleaf linden",NA,NA,NA,NA,NA,NA,NA,NA
"248",32,"Live oak","Live oak",NA,NA,NA,NA,NA,NA,NA,NA
"249",476,"Loblolly pine","Loblolly pine",NA,NA,NA,NA,NA,NA,NA,NA
"250",211,"Loebner magnolia","Loebner magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"251",423,"Lombardy poplar","Lombardy poplar",NA,NA,NA,NA,NA,NA,NA,NA
"252",297,"Lonicera hispidula var. vacillans","Lonicera hispidula var. vacillans",NA,NA,NA,NA,NA,NA,NA,NA
"253",467,"Lonicera involucrata","Lonicera involucrata",NA,NA,NA,NA,NA,NA,NA,NA
"254",67,"Lonicera japonica","Lonicera japonica","LeafLength",8,5.75,3,"LeafArea",963,867.5,772
"255",404,"Maackia amurensis","Maackia amurensis","LeafLength",70,40,20,"LeafArea",14386.95,5020.1625,1125
"256",376,"Magnolia figo","Magnolia figo",NA,NA,NA,NA,NA,NA,NA,NA
"257",66,"Magnolia spp.","Magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"258",49,"Malus sargentii","Malus sargentii",NA,NA,NA,NA,NA,NA,NA,NA
"259",125,"Malus siberica","Malus siberica",NA,NA,NA,NA,NA,NA,NA,NA
"260",490,"Maple","Maple",NA,NA,NA,NA,NA,NA,NA,NA
"261",81,"Maple leaf viburnum","Maple leaf viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"262",54,"Maple spp.","Maple",NA,NA,NA,NA,NA,NA,NA,NA
"263",288,"Mapleleaf viburnum","Mapleleaf viburnum",NA,NA,NA,NA,NA,NA,NA,NA
"264",231,"Merrill magnolia","Merrill magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"265",161,"Mockernut hickory","Mockernut hickory",NA,NA,NA,NA,NA,NA,NA,NA
"266",405,"Monterey pine","Monterey pine",NA,NA,NA,NA,NA,NA,NA,NA
"267",167,"Morella caroliniensis","Morella caroliniensis",NA,NA,NA,NA,NA,NA,NA,NA
"268",221,"Morella cerifera","Morella cerifera","LeafLength",13.3,7.38,1.1,"LeafArea",2162,816.070175436842,324
"269",409,"Mountain ash","Mountain ash",NA,NA,NA,NA,NA,NA,NA,NA
"270",283,"Mountain holly","Mountain holly",NA,NA,NA,NA,NA,NA,NA,NA
"271",203,"Mountain laurel","Mountain laurel",NA,NA,NA,NA,NA,NA,NA,NA
"272",444,"Mountain maple","Mountain maple",NA,NA,NA,NA,NA,NA,NA,NA
"273",281,"Mountain or fraser magnolia","Fraser's magnolia",NA,NA,NA,NA,NA,NA,NA,NA
"274",306,"Mountain winterberry","Mountain winterberry",NA,NA,NA,NA,NA,NA,NA,NA
"275",257,"Mulberry spp.","Mulberry",NA,NA,NA,NA,NA,NA,NA,NA
"276",267,"Multiflora rose","Multiflora rose",NA,NA,NA,NA,NA,NA,NA,NA
"277",121,"Myrica cerifera","Myrica cerifera",NA,NA,NA,NA,NA,NA,NA,NA
"278",491,"Myrobalan plum","Myrobalan plum",NA,NA,NA,NA,NA,NA,NA,NA
"279",7,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",471,"Na","Na",NA,NA,NA,NA,NA,NA,NA,NA
"281",395,"Nandina domestica","Nandina domestica",NA,NA,NA,NA,NA,NA,NA,NA
"282",419,"Nerium oleander","Nerium oleander",NA,NA,NA,NA,NA,NA,NA,NA
"283",328,"Northern catalpa","Northern catalpa",NA,NA,NA,NA,NA,NA,NA,NA
"284",71,"Northern red oak","Northern red oak",NA,NA,NA,NA,NA,NA,NA,NA
"285",262,"Northern spicebush","Northern spicebush",NA,NA,NA,NA,NA,NA,NA,NA
"286",345,"Northern white-cedar","Northern white-cedar",NA,NA,NA,NA,NA,NA,NA,NA
"287",33,"Norway maple","Norway maple",NA,NA,NA,NA,NA,NA,NA,NA
"288",488,"Norway spruce","Norway spruce",NA,NA,NA,NA,NA,NA,NA,NA
"289",421,"Nothoscordum gracile (onionweed)","Nothoscordum gracile (onionweed)",NA,NA,NA,NA,NA,NA,NA,NA
"290",214,"Nutmeg hickory","Nutmeg hickory",NA,NA,NA,NA,NA,NA,NA,NA
"291",57,"Oak spp.","Oak",NA,NA,NA,NA,NA,NA,NA,NA
"292",360,"Oakleaf hydrangea","Oakleaf hydrangea",NA,NA,NA,NA,NA,NA,NA,NA
"293",270,"Ohio buckeye","Ohio buckeye",NA,NA,NA,NA,NA,NA,NA,NA
"294",373,"Olea spp.","Olea",NA,NA,NA,NA,NA,NA,NA,NA
"295",260,"Olive quihoui??","Olive quihoui??",NA,NA,NA,NA,NA,NA,NA,NA
