"Name","Region","PlantFK","UserSuggestedName","PhotoURL","InferredName","NameConfidence","Notes","New"
"BHRC - Hemlock Draw","WI",5994,"Red maple, Red maple, Red maple, Red maple, Red maple","89160.jpeg, 92464.jpeg, 106916.jpeg, 106917.jpeg, 106918.jpeg, 106919.jpeg, 106920.jpeg","Red maple","3",NA,"N"
"BHRC - Hemlock Draw","WI",5998,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","90868.jpeg, 90869.jpeg, 92466.jpeg, 106886.jpeg","Eastern hophornbeam","3",NA,"N"
"BHRC - Hemlock Draw","WI",5999,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, White ash, Black cherry","101773.jpeg, 110263.jpeg",NA,"1","Based on photo 101773 and earlier submissions, this branch was Eastern hophornbeam in 2021, then changed to Green ash for 2022 (photo 110263) but they never checked the 'moving location' box; the last survey done in 2022 was identified as Black cherry but there is no photo to confirm, but it is possible they moved it again without checking the box","N"
"BHRC - Hemlock Draw","WI",6000,"Bitternut hickory, Bitternut hickory, Bitternut hickory","90864.jpeg","Bitternut hickory","3",NA,"N"
"BHRC - Hemlock Draw","WI",6001,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","90861.jpeg, 90862.jpeg, 106891.jpeg, 106892.jpeg","Eastern hophornbeam","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5061,"Devil’s walking stick, Devil’s walking stick, Yaupon",NA,NA,"1",NA,"N"
"Botany Bay Heritage Preserve","SC",5072,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam",NA,"Eastern hophornbeam","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5073,"Flowering dogwood, Flowering dogwood, Flowering dogwood, Flowering dogwood",NA,"Flowering dogwood","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5074,"American holly, American holly, American holly",NA,"American holly","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5075,"Sweetgum, Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5076,"Sweetgum, Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5174,"Dogwood spp., Dogwood spp.",NA,"Dogwood spp.","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5175,"Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5176,"Sweetgum, Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5177,"Live oak, Live oak",NA,"Live oak","3",NA,"N"
"Botany Bay Heritage Preserve","SC",5178,"Sweetgum, Sweetgum",NA,"Sweetgum","3",NA,"N"
"Chepiwanoxet","RI",5281,"Crabapple, Bigtooth aspen",NA,NA,"1",NA,"N"
"Chepiwanoxet","RI",5286,"Sweet crab apple",NA,"Sweet crab apple","2","","N"
"Chepiwanoxet","RI",5358,"Silver poplar, Silver poplar, Silver poplar, Silver poplar, Silver poplar",NA,"Silver poplar","3",NA,"N"
"Chepiwanoxet","RI",5363,"Hackberry",NA,"Hackberry","2","","N"
"Columbus Botanical Garden","GA",1140,"Cucumbertree, Southern magnolia, Southern magnolia",NA,"Magnolia spp.","2",NA,"N"
"Columbus Botanical Garden","GA",1156,"Water oak",NA,"Water oak","2","","N"
"Gulf Branch Nature Center","VA",6731,"American beech, Black cherry","117712.jpeg, 117713.jpeg","Black cherry","2","photos consistent with Black cherry","N"
"Gulf Branch Nature Center","VA",6734,"American holly, Cherry and plum spp.","110116.jpeg, 112693.jpeg","Cherry and plum spp.","2","based on photos","N"
"Gulf Branch Nature Center","VA",6739,"American beech, Cherry and plum spp.","110119.jpeg, 115102.jpeg, 115103.jpeg, 122759.jpeg, 127035.jpeg",NA,"1","unsure based on photos, Amelanchier?","N"
"Gulf Branch Nature Center","VA",6757,"American beech","110159.jpeg, 115148.jpeg","Betula spp.","2","based on photos","N"
"High Park","ON",7549,"Ash spp., Ash spp., White ash, White ash, Ash spp., Ash spp., Ash spp., Walnut spp., Ash spp., Ash spp.","131592.jpeg","Ash spp.","2",NA,"Y"
"High Park","ON",7550,"Northern red oak, Black oak, Black oak, Black oak, Oak spp., Northern red oak, Oak spp., Northern red oak, Northern red oak, Northern red oak",NA,"Quercus spp.","1",NA,"Y"
"High Park","ON",7554,"Buckthorn spp., Buckthorn spp., Common buckthorn, Buckthorn spp., Buckthorn spp., Buckthorn spp., Common buckthorn, Common buckthorn, Common buckthorn, Common buckthorn, Common buckthorn","131597.jpeg","Common buckthorn","3","based on photo","N"
"High Park","ON",7555,"Oregon crab apple, Crabapple, Roughleaf dogwood, Buckthorn spp., Oregon crab apple, Apple spp., Apple spp., Apple spp., Apple spp., Apple spp.",NA,NA,"1",NA,"Y"
"High Park","ON",7559,"Common buckthorn, Common buckthorn, Common buckthorn, Buckthorn spp., Common buckthorn, Buckthorn spp., Common buckthorn, Common buckthorn, Common buckthorn, Common buckthorn","131602.jpeg","Common buckthorn","3",NA,"N"
"High Park","ON",7560,"Sugar maple, Maple spp., Sugar maple, Maple spp., Maple spp., Maple spp., Common buckthorn, Common buckthorn, Common buckthorn, Common buckthorn",NA,"Maple spp.","3",NA,"N"
"High Park","ON",7564,"Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Sumac spp., Sumac spp., Sumac spp., Sumac spp., Sumac spp.",NA,"Staghorn sumac","3",NA,"N"
"High Park","ON",7565,"Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Sumac spp., Sumac spp., Sumac spp., Sumac spp., Sumac spp.","131341.jpeg","Staghorn sumac","3",NA,"N"
"High Park","ON",7569,"Northern red oak, Oak spp., Northern red oak, Black oak, Northern red oak, Oak spp., Oak spp., Oak spp., Northern red oak, Northern red oak",NA,"Quercus spp.","2",NA,"Y"
"High Park","ON",7570,"Black cherry, Black cherry, Black cherry, Black cherry, Black cherry, Black cherry, Northern red oak, Black cherry, Spicebush spp., Black cherry, Black cherry, Black cherry","131342.jpeg","Black cherry","3",NA,"N"
"High Park","ON",7573,"Oak spp.",NA,"Oak spp.","2","","N"
"Jordan Lake SRA","NC",1945,"Winged elm, Winged elm",NA,"Winged elm","3",NA,"N"
"Jordan Lake SRA","NC",1946,"Winged elm",NA,"Winged elm","2","","N"
"Museum of American Bird Art","MA",3302,"Highbush blueberry, Black cherry, Highbush blueberry",NA,NA,"1",NA,"N"
"NC State University","NC",986,"American beech, American elm, American beech, American elm, American beech","41633.jpeg, 41980.jpeg, 42188.jpeg","American beech","3","based on photos","N"
"NC State University","NC",990,"Dogwood spp., Dogwood spp., Dogwood spp.",NA,"Dogwood spp.","2",NA,"N"
"NC State University","NC",2352,"Rocky mountain maple, Red maple, Eastern redbud, Willow oak, Willow oak, Dogwood spp., White oak, White oak, White oak, Red maple, Red maple","41482.jpeg, 41549.jpeg","Willow oak","3","based on first photo","N"
"NC State University","NC",2355,"Rocky mountain maple, Cucumbertree, Red maple, Red maple",NA,NA,"1",NA,"N"
"NC State University","NC",2362,"Oak spp., Bigleaf magnolia, Magnolia spp., Magnolia, Magnolia, Bigleaf maple","41489.jpeg, 41490.jpeg",NA,"1","unclear from 41489, 41490","N"
"NC State University","NC",2375,"Southern magnolia, Southern magnolia, Southern magnolia, Cucumbertree",NA,NA,"1",NA,"N"
"NC State University","NC",2376,"Hackberry, Hackberry, Hackberry, Hackberry",NA,"Hackberry","3",NA,"N"
"NC State University","NC",2387,"Japanese maple, Sugar maple, Sugar maple, Silver maple","156.jpeg, 41585.jpeg, 41738.jpeg, 41960.jpeg","Japanese maple","3","based on name entries plus 41738, but other photos seem to be of a large trunked tree","N"
"NC State University","NC",2390,"American beech, American beech, American beech, American beech, American beech, American beech","41460.jpeg","American beech","3",NA,"N"
"NC State University","NC",2391,"Dogwood spp.","159.jpeg, 41440.jpeg, 41441.jpeg","Dogwood spp.","2","decent photo, but unsure","N"
"NC State University","NC",2393,"American holly, American holly, Willow oak",NA,NA,"1",NA,"N"
"NC State University","NC",2394,"Eastern redbud, Southern catalpa, Willow oak, Willow oak","179.jpeg","Eastern redbud","3","based on photo","N"
"NC State University","NC",2405,"Elm spp., American beech","41591.jpeg, 41592.jpeg, 41593.jpeg, 41594.jpeg, 42143.jpeg","Carpinus caroliniana","3","based on leaf in 41591 and trunk base in 41592","N"
"Potter Park Zoo","MI",3866,NA,"61115.jpeg, 61116.jpeg",NA,NA,"needs expert look","N"
"Potter Park Zoo","MI",3872,NA,"61164.jpeg, 61165.jpeg, 61166.jpeg",NA,NA,"needs expert look","N"
"Potter Park Zoo","MI",3874,NA,"61135.jpeg, 61136.jpeg",NA,NA,"rounded leaves, wavy margins; needs expert look","N"
"RBP TRAINING SITE","VA",5327,"American holly",NA,"American holly","2","","N"
"Red Top Mountain State Park","GA",1502,"Water oak",NA,"Water oak","2","","N"
"Ucl","GB",7601,"Maple spp.",NA,"Maple spp.","2","","N"
"Wellesley College","MA",3529,NA,"7460.jpeg",NA,NA,"needs expert look","N"
"Wellesley College","MA",3530,NA,"11554.jpeg","Maple spp.","2","based on photo","N"
"Wellesley College","MA",3531,NA,"8335.jpeg, 11553.jpeg, 12485.jpeg",NA,NA,"needs expert look","N"
"Wellesley College","MA",3532,"Common lilac?",NA,NA,"1","","N"
"Wellesley College","MA",3534,NA,"7439.jpeg, 12486.jpeg",NA,"Prunus spp.","based on photo","N"
"Wellesley College","MA",3536,"Elder",NA,"Elder","2","","N"
"Wellesley College","MA",3537,"Maple",NA,"Maple","2","","N"
"Wellesley College","MA",3538,NA,"8342.jpeg","Boxelder","1","needs expert look","N"
"Wellesley College","MA",3540,"Maple, Maple spp.",NA,NA,"1",NA,"N"
"Wellesley College","MA",3541,NA,"7433.jpeg, 8325.jpeg",NA,NA,"needs expert look","N"
"Wellesley College","MA",3542,"Maple spp.","12482.jpeg, 13198.jpeg","Quercus spp.","2","Q. pagoda or Q. macrocarpa based on photos?","N"
"Wellesley College","MA",3544,"White oak tree","9603.jpeg, 11546.jpeg","Quercus spp.","2","I think Quercus from photos","N"
"Wellesley College","MA",3546,NA,"8322.jpeg, 8324.jpeg, 9599.jpeg, 11548.jpeg, 11549.jpeg, 13195.jpeg",NA,NA,"Maleae? Needs expert look","N"
"Wellesley College","MA",3547,"Maple",NA,"Maple","2","","N"
"Wellesley College","MA",3548,NA,"8330.jpeg",NA,NA,"needs expert look","N"
"Wellesley College","MA",3549,"Maple, Maple",NA,"Maple","3",NA,"N"
"Wellesley College","MA",3550,NA,"11555.jpeg","Prunus spp.","2","with galls","N"
"Wellesley College","MA",3551,NA,"11559.jpeg, 11560.jpeg","River birch","3","based on photos","N"
"Wellesley College","MA",3552,"Maple, Maple spp.",NA,NA,"1",NA,"N"
"Wellesley College","MA",3553,"Maple","11558.jpeg","Red maple","3","based on photo","N"
"Wellesley College","MA",3554,"Asian pear tree, Asian pear tree",NA,"Pyrus pyrifolia","3",NA,"N"
"Wellesley College","MA",3555,NA,"7467.jpeg",NA,NA,"needs expert look","N"
"Wellesley College","MA",3556,NA,"13418.jpeg",NA,NA,"needs expert look","N"
"Wellesley College","MA",3557,"Persimmon, Persimmon spp., Common persimmon",NA,"Persimmon spp.","3",NA,"N"
"Wellesley College","MA",3558,"Chickasaw plum, Chickasaw plum, Chickasaw plum",NA,"Chickasaw plum","3",NA,"N"
"Wye Marsh Wildlife Centre","ON",1226,"Common buckthorn",NA,"Common buckthorn","2","","N"
"Wye Marsh Wildlife Centre","ON",1227,"Redosier dogwood","71096.jpeg","Redosier dogwood","3","","N"
"Wye Marsh Wildlife Centre","ON",1228,"Black ash",NA,"Black ash","2","","N"
"Wye Marsh Wildlife Centre","ON",1229,"Redosier dogwood",NA,"Redosier dogwood","2","some wind","N"
"Wye Marsh Wildlife Centre","ON",1230,"Common buckthorn",NA,"Common buckthorn","2","","N"
"Bickford Park Caterpillars Count","ON",7652,"Norway maple, Norway maple, Norway maple, Norway maple, Norway maple",NA,NA,NA,NA,"Y"
"Bickford Park Caterpillars Count","ON",7654,"Norway maple, Norway maple, Norway maple, Norway maple, Norway maple",NA,NA,NA,NA,"Y"
"Bickford Park Caterpillars Count","ON",7655,"Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut, Walnut spp.",NA,NA,NA,NA,"Y"
"CoSA - Corp Yard","CA",8611,"Eastern redbud","149806.jpeg",NA,NA,NA,"Y"
"CoSA - Corp Yard","CA",8615,"Sambucus cerulea","149801.jpeg",NA,NA,NA,"Y"
"CoSA - Corp Yard","CA",8619,"Cercis occidentalis",NA,NA,NA,NA,"Y"
"Kipling Collegiate Institute","ON",7746,"Pine spp.",NA,NA,NA,NA,"Y"
"Kipling Collegiate Institute","ON",7747,"Elm spp., Elm spp.",NA,NA,NA,NA,"Y"
"Kipling Collegiate Institute","ON",7748,"Pine spp., Maple spp., Oak spp.",NA,NA,NA,NA,"Y"
"Kipling Collegiate Institute","ON",7749,"Pine spp., Pine spp.",NA,NA,NA,NA,"Y"
"Kipling Collegiate Institute","ON",7750,"Pine spp., Pine spp.",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8558,"Sassafras, Sassafras",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8559,"Black cherry, Black cherry",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8560,"Pin oak, Pin oak",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8561,"Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8562,"Black locust, Black locust",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8563,"Sassafras, Sassafras",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8564,"Black cherry, Black cherry",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8565,"Dogwood spp., Flowering dogwood",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8566,"Dogwood spp., Black cherry",NA,NA,NA,NA,"Y"
"Laurel Hill Park Equestrian Center area","VA",8567,"Sassafras, Sassafras",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7686,"Cherry and plum spp., Cherry and plum spp., Cherry and plum spp., Red elderberry, Red mulberry",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7687,"Pine spp., Pine spp., Pine spp., Walnut spp., Pine spp., Pine spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7688,"Walnut spp., Walnut spp., Walnut spp., Walnut spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7689,"Walnut spp., Walnut spp., Walnut spp., Walnut spp., Walnut spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7690,"Maple spp., Maple spp., Maple spp., Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7691,"Maple spp., Maple spp., Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7692,"European beech, European beech, European beech, Beech spp., European beech",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7693,"Apple spp., Apple spp., Apple spp., Apple spp., Apple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7694,"Locust spp., Kentucky yellowwood, Kentucky yellowwood, Kentucky yellowwood, Kentucky yellowwood",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7695,"Maple spp., Maple spp., Maple spp., Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7696,"Kentucky yellowwood, Common serviceberry, Dicot, Dicot allies, Dicots allies",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7697,"Red maple, Red maple, Red maple, Red maple, Red maple",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7698,"American sycamore, Birch spp., American sycamore, American sycamore, Sycamore spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7699,"Linden arrowwood, Linden arrowwood, Linden arrowwood, Linden arrowwood, Linden arrowwood",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7700,"Ginkgo",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7701,"European beech, European beech, European beech, European beech, European beech",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7702,"Ginkgo, Ginkgo, Ginkgo, Ginkgo",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7703,"Maple spp., Maple spp., Maple spp., Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7704,"Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7705,"Nannyberry, Nannyberry, Nannyberry, Nannyberry",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7706,"Ash spp., Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7707,"Sugar maple, Sugar maple, Sugar maple, Oak spp., Oak spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7708,"Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7709,"European spindletree, Ash spp., Ash spp., Ash spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7710,"Maple spp., Maple spp., Maple spp., Maple spp., Maple spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7711,"American hornbeam, Birch spp., Hornbeam spp., Hornbeam spp., Hornbeam spp.",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7712,"Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut, Horse chestnut",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7713,"American hornbeam, American hornbeam",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7714,"Hornbeam spp., American hornbeam, Hornbeam spp., Oregon ash, Oregon ash",NA,NA,NA,NA,"Y"
"Philosopher's Walk","ON",7715,"Smoketree, Smoketree, Smoketree, Smoketree, Smoketree",NA,NA,NA,NA,"Y"
