,PlantFK,PlantSpecies,InferredName,NameConfidence
48,5177,"Live oak, Live oak",Live oak,3
49,5178,"Sweetgum, Sweetgum",Sweetgum,3
50,5281,"Crabapple, Bigtooth aspen",NA,1
51,5286,Sweet crab apple,Sweet crab apple,2
52,5327,American holly,American holly,2
53,5358,"Silver poplar, Silver poplar, Silver poplar, Silver poplar, Silver poplar",Silver poplar,3
54,5363,Hackberry,Hackberry,2
55,5994,"Red maple, Red maple, Red maple, Red maple, Red maple",Red maple,3
56,5998,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam",Eastern hophornbeam,3
57,5999,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, White ash, Black cherry",NA,1
58,6000,"Bitternut hickory, Bitternut hickory, Bitternut hickory",Bitternut hickory,3
59,6001,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam",Eastern hophornbeam,3
60,6107,"Russian olive, Russian olive, Russian olive, New mexico olive, New mexico olive, New mexico olive",NA,1
61,6108,"Cottonwood and poplar spp., Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,1
62,6109,"Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",Siberian elm,3
63,6110,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",Russian olive,3
64,6111,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",Russian olive,3
65,6112,"Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",Siberian elm,3
66,6113,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",Russian olive,3
67,6114,"Russian olive, Russian olive, Fragrant sumac, Fragrant sumac, Fragrant sumac, Siberian elm, Fragrant sumac, Fragrant sumac, Fragrant sumac",NA,1
68,6115,"Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Russian olive, Russian olive",Cottonwood and poplar spp.,3
69,6116,"Russian olive, Russian olive, Russian olive, Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp.",NA,1
70,6329,Northern red oak,Northern red oak,2
71,6592,"White mulberry, White mulberry",White mulberry,3
72,6731,"American beech, Black cherry",NA,1
73,6734,"American holly, Cherry and plum spp.",NA,1
74,6739,"American beech, Cherry and plum spp.",NA,1
75,6757,American beech,American beech,2
76,7549,"Ash spp., Ash spp., White ash, White ash, Ash spp.",NA,1
77,7550,"Northern red oak, Black oak, Black oak, Black oak, Oak spp.",NA,1
78,7554,"Buckthorn spp., Buckthorn spp., Common buckthorn, Buckthorn spp., Buckthorn spp., Buckthorn spp.",NA,1
79,7555,"Oregon crab apple, Crabapple, Roughleaf dogwood, Buckthorn spp., Oregon crab apple",NA,1
80,7559,"Common buckthorn, Common buckthorn, Common buckthorn, Buckthorn spp., Common buckthorn, Buckthorn spp.",NA,1
81,7560,"Sugar maple, Maple spp., Sugar maple, Maple spp., Maple spp., Maple spp.",NA,1
82,7564,"Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac",Staghorn sumac,3
83,7565,"Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac",Staghorn sumac,3
84,7569,"Northern red oak, Oak spp., Northern red oak, Black oak, Northern red oak",NA,1
85,7570,"Black cherry, Black cherry, Black cherry, Black cherry, Black cherry, Black cherry",Black cherry,3
86,7573,Oak spp.,Oak spp.,2
87,7601,Maple spp.,Maple spp.,2
