Name,Region,PlantFK,UserSuggestedName,PhotoURL,InferredName,NameConfidence,Notes
Botany Bay Heritage Preserve,SC,5174,"Dogwood spp., Dogwood spp.",NA,Dogwood spp.,3,NA
Botany Bay Heritage Preserve,SC,5175,"Sweetgum, Sweetgum",NA,Sweetgum,3,NA
Botany Bay Heritage Preserve,SC,5176,"Sweetgum, Sweetgum, Sweetgum",NA,Sweetgum,3,NA
Botany Bay Heritage Preserve,SC,5177,"Live oak, Live oak",NA,Live oak,3,NA
Botany Bay Heritage Preserve,SC,5178,"Sweetgum, Sweetgum",NA,Sweetgum,3,NA
Chepiwanoxet,RI,5281,"Crabapple, Bigtooth aspen",NA,NA,1,NA
Chepiwanoxet,RI,5286,Sweet crab apple,NA,Sweet crab apple,2,
RBP TRAINING SITE,VA,5327,American holly,NA,American holly,2,
Chepiwanoxet,RI,5358,"Silver poplar, Silver poplar, Silver poplar, Silver poplar, Silver poplar",NA,Silver poplar,3,NA
Chepiwanoxet,RI,5363,Hackberry,NA,Hackberry,2,
BHRC - Hemlock Draw,WI,5994,"Red maple, Red maple, Red maple, Red maple, Red maple","89160.jpeg, 92464.jpeg, 106916.jpeg, 106917.jpeg, 106918.jpeg, 106919.jpeg, 106920.jpeg",Red maple,3,NA
BHRC - Hemlock Draw,WI,5998,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","90868.jpeg, 90869.jpeg, 92466.jpeg, 106886.jpeg",Eastern hophornbeam,3,NA
BHRC - Hemlock Draw,WI,5999,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, White ash, Black cherry","101773.jpeg, 110263.jpeg",NA,1,"Based on photo 101773 and earlier submissions, this branch was Eastern hophornbeam in 2021, then changed to Green ash for 2022 (photo 110263) but they never checked the 'moving location' box; the last survey done in 2022 was identified as Black cherry but there is no photo to confirm, but it is possible they moved it again without checking the box"
BHRC - Hemlock Draw,WI,6000,"Bitternut hickory, Bitternut hickory, Bitternut hickory",90864.jpeg,Bitternut hickory,3,NA
BHRC - Hemlock Draw,WI,6001,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","90861.jpeg, 90862.jpeg, 106891.jpeg, 106892.jpeg",Eastern hophornbeam,3,NA
ABQ BioPark Botanical Garden,NM,6107,"Russian olive, Russian olive, Russian olive, New mexico olive, New mexico olive, New mexico olive",NA,NA,1,NA
ABQ BioPark Botanical Garden,NM,6108,"Cottonwood and poplar spp., Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,NA,1,NA
ABQ BioPark Botanical Garden,NM,6109,"Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,Siberian elm,3,NA
ABQ BioPark Botanical Garden,NM,6110,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",NA,Russian olive,3,NA
ABQ BioPark Botanical Garden,NM,6111,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",NA,Russian olive,3,NA
ABQ BioPark Botanical Garden,NM,6112,"Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm, Siberian elm",NA,Siberian elm,3,NA
ABQ BioPark Botanical Garden,NM,6113,"Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive, Russian olive",NA,Russian olive,3,NA
ABQ BioPark Botanical Garden,NM,6114,"Russian olive, Russian olive, Fragrant sumac, Fragrant sumac, Fragrant sumac, Siberian elm, Fragrant sumac, Fragrant sumac, Fragrant sumac",NA,NA,1,NA
ABQ BioPark Botanical Garden,NM,6115,"Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp., Russian olive, Russian olive",NA,Cottonwood and poplar spp.,3,NA
ABQ BioPark Botanical Garden,NM,6116,"Russian olive, Russian olive, Russian olive, Cottonwood and poplar spp., Cottonwood and poplar spp., Cottonwood and poplar spp.",NA,NA,1,NA
Cambridge Miyawaki Forest (Danehy Park),MA,6329,Northern red oak,"131955.jpeg, 131956.jpeg, 131957.jpeg",Northern red oak,3,based on photos
Mjeidel,LB,6592,"White mulberry, White mulberry",NA,White mulberry,3,NA
Gulf Branch Nature Center,VA,6731,"American beech, Black cherry","117712.jpeg, 117713.jpeg",Black cherry,2,photos consistent with Black cherry
Gulf Branch Nature Center,VA,6734,"American holly, Cherry and plum spp.","110116.jpeg, 112693.jpeg",Cherry and plum spp.,2,based on photos
Gulf Branch Nature Center,VA,6739,"American beech, Cherry and plum spp.","110119.jpeg, 115102.jpeg, 115103.jpeg, 122759.jpeg, 127035.jpeg",NA,1,"unsure based on photos, Amelanchier?"
Gulf Branch Nature Center,VA,6757,American beech,"110159.jpeg, 115148.jpeg",Betula spp.,2,based on photos
High Park,ON,7549,"Ash spp., Ash spp., White ash, White ash, Ash spp.",131592.jpeg,Ash spp.,2,NA
High Park,ON,7550,"Northern red oak, Black oak, Black oak, Black oak, Oak spp.",NA,Quercus spp.,1,NA
High Park,ON,7554,"Buckthorn spp., Buckthorn spp., Common buckthorn, Buckthorn spp., Buckthorn spp., Buckthorn spp.",131597.jpeg,Common buckthorn,3,based on photo
High Park,ON,7555,"Oregon crab apple, Crabapple, Roughleaf dogwood, Buckthorn spp., Oregon crab apple",NA,NA,1,NA
High Park,ON,7559,"Common buckthorn, Common buckthorn, Common buckthorn, Buckthorn spp., Common buckthorn, Buckthorn spp.",131602.jpeg,Common buckthorn,3,NA
High Park,ON,7560,"Sugar maple, Maple spp., Sugar maple, Maple spp., Maple spp., Maple spp.",NA,Maple spp.,3,NA
High Park,ON,7564,"Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac",NA,Staghorn sumac,3,NA
High Park,ON,7565,"Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac, Staghorn sumac",131341.jpeg,Staghorn sumac,3,NA
High Park,ON,7569,"Northern red oak, Oak spp., Northern red oak, Black oak, Northern red oak",NA,Quercus spp.,2,NA
High Park,ON,7570,"Black cherry, Black cherry, Black cherry, Black cherry, Black cherry, Black cherry",131342.jpeg,Black cherry,3,NA
High Park,ON,7573,Oak spp.,NA,Oak spp.,2,
Ucl,GB,7601,Maple spp.,NA,Maple spp.,2,
Wellesley College,MA,3529,NA,7460.jpeg,NA,NA,needs expert look
Wellesley College,MA,3530,NA,11554.jpeg,Maple spp.,2,based on photo
Wellesley College,MA,3531,NA,"8335.jpeg, 11553.jpeg, 12485.jpeg",NA,NA,needs expert look
Wellesley College,MA,3534,NA,"7439.jpeg, 12486.jpeg",NA,Prunus spp.,based on photo
Wellesley College,MA,3538,NA,8342.jpeg,Boxelder,1,needs expert look
Wellesley College,MA,3541,NA,"7433.jpeg, 8325.jpeg",NA,NA,needs expert look
Wellesley College,MA,3546,NA,"8322.jpeg, 8324.jpeg, 9599.jpeg, 11548.jpeg, 11549.jpeg, 13195.jpeg",NA,NA,Maleae? Needs expert look
Wellesley College,MA,3548,NA,8330.jpeg,NA,NA,needs expert look
Wellesley College,MA,3550,NA,11555.jpeg,Prunus spp.,2,with galls
Wellesley College,MA,3551,NA,"11559.jpeg, 11560.jpeg",River birch,3,based on photos
Wellesley College,MA,3555,NA,7467.jpeg,NA,NA,needs expert look
Wellesley College,MA,3556,NA,13418.jpeg,NA,NA,needs expert look
Potter Park Zoo,MI,3866,NA,"61115.jpeg, 61116.jpeg",NA,NA,needs expert look
Potter Park Zoo,MI,3872,NA,"61164.jpeg, 61165.jpeg, 61166.jpeg",NA,NA,needs expert look
Potter Park Zoo,MI,3874,NA,"61135.jpeg, 61136.jpeg",NA,NA,"rounded leaves, wavy margins; needs expert look"
