,cleanedName,sciName,itis_id,rank,notes,isConifer
541,Amur maple,Acer,28727,genus,Between Acer ginnala vs A. japonicum | what's the difference??,NA
192,Apple,Malus,25254,genus,,0
460,Apple,Malus,25254,genus,NA,NA
807,Arizona white oak,Quercus arizonica,19292,species,NA,NA
212,Arrowwood,Viburnum,35249,genus,,0
213,Arrowwood viburnum,Viburnum,35249,genus,,0
120,Ash,Fraxinus,32928,species,,0
499,Ash,Fraxinus,32928,genus,For some reason not on the sugggested ITIS ids,NA
706,Asimina,Asimina,18108,genus,NA,NA
74,Atlantic white-cedar,Chamaecyparis thyoides,18046,species,,0
531,Atlantic white-cedar,Chamaecyparis thyoides,18046,species,NA,NA
106,Autumn olive,Elaeagnus umbellata,27776,species,,0
421,Autumn olive,Elaeagnus umbellata,27776,species,NA,NA
288,Azalea,Rhododendron,23700,genus,,0
575,Azalea,Rhododendron,23700,species,NA,NA
802,"Azalea, rhododendron",NA,NA,species,Unknown,NA
37,Baccharis halimifolia,Baccharis halimifolia,35682,species,,0
522,Baccharis halimifolia,Baccharis halimifolia,35682,species,NA,NA
321,Bald cypress,Taxodium distichum,18041,species,,0
668,Bald cypress,Taxodium,18040,genus,NA,NA
234,Balsam poplar,Populus balsamifera,22453,species,,0
459,Balsam poplar,Populus balsamifera,22453,species,NA,NA
326,Basswood,Tilia americana,21536,species,,0
480,Basswood,Tilia,21535,genus,NA,NA
95,Beaked hazel,Corylus cornuta,19507,species,,0
450,Beaked hazel,Corylus cornuta,19507,species,NA,NA
110,Beech,Fagus,19461,genus,,0
552,Beech,Fagus,19461,genus,NA,NA
86,Big-leaf dogwood,Cornus macrophylla,896096,species,,0
7,Bigleaf maple,Acer macrophyllum,28748,species,,0
768,Bigleaf snowbell,Styrax grandifolius,505399,species,NA,NA
235,Bigtooth aspen,Populus grandidentata,22463,species,,0
721,Bigtooth aspen,Populus grandidentata,22463,species,NA,NA
38,Birch,Betula,19478,genus,,0
367,Birch,Betula,19478,genus,lots of options but just chose the genus,NA
56,Bitternut hickory,Carya cordiformis,19227,species,,0
513,Bitternut hickory,Carya cordiformis,19227,species,NA,NA
123,Black ash,Fraxinus nigra,32945,species,,0
461,Black ash,Fraxinus nigra,32945,species,NA,NA
40,Black birch,Betula lenta,19487,species,,0
647,Black birch,Betula lenta,19487,species,a not often used common name? more commonly called sweet birch,NA
250,Black cherry,Prunus serotina,24764,species,,0
391,Black cherry,Prunus serotina,24764,species,NA,NA
217,Black gum,Nyssa sylvatica,27821,species,,0
529,Black gum,Nyssa sylvatica,27821,species,NA,NA
778,Black haw,Viburnum prunifolium,35253,species,misspelling-Blackhaw,NA
303,Black locust,Robinia pseudoacacia,504804,species,,0
620,Black locust,Robinia pseudoacacia,504804,species,NA,NA
10,Black maple,Acer nigrum,182135,species,,0
490,Black maple,Acer nigrum,182135,species,NA,NA
209,Black mulberry,Morus nigra,19069,species,,0
611,Black mulberry,Morus nigra,19069,species,NA,NA
281,Black oak,Quercus velutina,19447,species,,0
502,Black oak,Quercus velutina,19447,species,NA,NA
153,Black walnut,Juglans nigra,19254,species,,0
466,Black walnut,Juglans nigra,19254,species,NA,NA
310,Black willow,Salix nigra,22484,species,,0
734,Black willow,Salix nigra,22484,species,NA,NA
218,Blackgum,Nyssa sylvatica,27821,species,,0
370,Blackgum,Nyssa sylvatica,27821,species,NA,NA
358,Blackhaw,Viburnum prunifolium,35253,species,,0
422,Blackhaw,Viburnum prunifolium,35253,species,Choices between blackhaw and rusty blackhaw,NA
270,Blackjack oak,Quercus marilandica,19374,species,,0
672,Blackjack oak,Quercus marilandica,19374,species,NA,NA
54,Blue beech,Carpinus caroliniana,19504,species,,0
376,Blue beech,Carpinus caroliniana,19504,species,Unknown by ITIS | NCSU plants CES,NA
225,Blue spruce,Picea pungens,183307,species,,0
679,Blue spruce,Picea pungens,183307,species,NA,NA
341,Blueberry,Vaccinium,23571,genus,,0
632,Blueberry,Vaccinium,23571,genus,NA,NA
24,Bottlebrush buckeye,Aesculus parviflora,28722,species,,0
662,Bottlebrush buckeye,Aesculus parviflora,28722,species,NA,NA
9,Boxelder,Acer negundo,28749,species,,0
372,Boxelder,Acer negundo,28749,species,a lot,NA
306,Brambles,Rubus,24848,genus,,0
612,Brambles,Rubus,24848,genus,NA,NA
97,Broadleaf hawthorn,Crataegus dilatata,24555,species,,0
641,Broadleaf hawthorn,Crataegus coccinioides,24550,species,not accepted name,NA
20,Buckeye,Aesculus,28714,genus,,0
537,Buckeye,Aesculus,28714,genus,NA,NA
284,Buckthorn,Rhamnus,28561,genus,,0
387,Buckthorn,Rhamnus,28561,genus,NA,NA
254,Buffalo nut,Pyrularia pubera,504705,species,,0
626,Buffalo nut,Pyrularia pubera,504705,species,NA,NA
269,Bur oak,Quercus macrocarpa,19287,species,,0
476,Bur oak,Quercus macrocarpa,19287,species,NA,NA
101,Bush honeysuckle,Diervilla,35309,genus,,0
614,Bush honeysuckle,Diervilla,35309,genus,NA,NA
761,Buttonwood-mangrove,Conocarpus erectus,27766,species,maybe misspelled-Button mangrove,NA
47,Buxus,Buxus,28022,genus,,0
687,Buxus,Buxus,28022,genus,Found Buxus but no options given,NA
739,Buxus sempervirens,Buxus sempervirens,501097,species,NA,NA
340,California laurel,Umbellularia californica,18208,species,,0
635,California laurel,Umbellularia,18207,species,NA,NA
258,California live oak,Quercus agrifolia,19289,species,,0
638,California live oak,Quercus agrifolia,19289,species,NA,NA
256,Callery pear,Pyrus calleryana,504706,species,,0
649,Callery pear,Pyrus calleryana,504706,species,NA,NA
48,Callicarpa americana,Callicarpa americana,32144,species,,0
574,Callicarpa americana,Callicarpa americana,32144,species,NA,NA
49,Calycanthus,Calycanthus,18139,species,,0
630,Calycanthus,Calycanthus,18139,genus,NA,NA
51,Camellia,Camellia,500689,genus,,0
581,Camellia,Camellia,500689,genus,NA,NA
774,Camptotheca,Camptotheca,500635,species,NA,NA
362,Canyon grape,Vitis arizonica,28612,species,,0
669,Canyon grape,Vitis arizonica,28612,species,NA,NA
122,Carolina ash,Fraxinus caroliniana,32941,species,,0
508,Carolina ash,Fraxinus caroliniana,32941,species,NA,NA
748,Carolina cherry laurel,Prunus caroliniana,24771,species,Missordering of cerry and laurel,NA
332,Carolina hemlock,Tsuga caroliniana,183399,species,,1
470,Carolina hemlock,Tsuga caroliniana,183399,species,NA,NA
735,Carolina laurel cherry,Prunus caroliniana,24771,species,Misspelling-laurelcherry,NA
767,Carolina laurelcherry,Prunus caroliniana,24771,species,NA,NA
130,Carolina silverbell,Halesia carolina,23864,species,,0
514,Carolina silverbell,Halesia carolina,23864,species,NA,NA
698,Carpinus,Carpinus,19503,species,NA,NA
65,Catalpa,Catalpa,34312,genus,,0
584,Catalpa,Catalpa,34312,genus,NA,NA
293,Catawba rhododendron,Rhododendron catawbiense,23714,species,,0
557,Catawba rhododendron,Rhododendron catawbiense,23714,species,NA,NA
145,Catberry,Ilex mucronata,835359,species,,0
730,Catberry,Ilex mucronata,835359,species,NA,NA
6,Chalk maple,Acer leucoderme,28761,species,,0
503,Chalk maple,Acer leucoderme,28761,species,NA,NA
238,Cherry,Prunus,24762,genus,,0
628,Cherry,Prunus,24762,genus,lots of options but I believe just genus,NA
239,Cherry and plum,Prunus,24762,genus,,0
395,Cherry and plum,Prunus cerasifera,24772,species,perhaps cherry plum?,NA
245,Cherry laurel,Prunus laurocerasus,24786,species,,0
666,Cherry laurel,Prunus laurocerasus,24786,species,NA,NA
275,Cherrybark oak,Quercus pagoda,195195,species,,0
598,Cherrybark oak,Quercus pagoda,195195,species,NA,NA
272,Chestnut oak,Quercus montana,19379,species,,0
444,Chestnut oak,Quercus prinus,19379,species,Not found in ITIS,NA
64,Chinese chestnut,Castanea mollissima,501318,species,,0
657,Chinese chestnut,Castanea mollissima,501318,species,NA,NA
263,Chinese evergreen oak,Quercus glauca,845168,species,,0
585,Chinese evergreen oak,Quercus glauca,845168,species,not found | internet says these it correlates with Quercus myrsinifolia,NA
752,Chinese holly,Ilex cornuta,503155,species,NA,NA
755,Chinese privet,Ligustrum sinense,32979,species,NA,NA
73,Chinese quince,Chaenomeles sinensis,565928,species,,0
548,Chinese quince,Chaenomeles sinensis,565928,species,not found in IT IS and not accepted | found in NCSU,NA
330,Chinese tallowtree,Triadica†sebifera,522777,species,,0
572,Chinese tallowtree,Triadica sebifera,522777,species,"A space was needed between ""tallow"" and ""tree""",NA
240,Chokecherry,Prunus,24762,genus,,0
373,Chokecherry,Prunus,24762,genus,NA,NA
211,Clerya,Mulinia cleryana,80960,species,,0
580,Clerya,Mulinia cleryana,80960,species,NA,NA
296,Coastal azalea,Rhododendron†atlanticum,23704,species,,0
591,Coastal azalea,Rhododendron atlanticum,23704,species,not found | also goes by dwarf azalea,NA
781,Cockspur hawthorn,Crataegus crus-galli,24552,species,NA,NA
285,Common buckthorn,Rhamnus cathartica,28573,species,,0
379,Common buckthorn,Rhamnus cathartica,28573,species,NA,NA
71,Common buttonbush,Cephalanthus occidentalis,34786,species,,0
640,Common buttonbush,Cephalanthus occidentalis,34786,species,NA,NA
758,Common gardenia,Gardenia volkensii,845972,species,NA,NA
224,Common ninebark,Physocarpus opulifolius,25282,species,,0
617,Common ninebark,Physocarpus opulifolius,25282,species,NA,NA
103,Common persimmon,Diospyros virginiana,23855,species,,0
446,Common persimmon,Diospyros virginiana,23855,species,NA,NA
164,Common privet,Ligustrum vulgare,32980,species,,0
653,Common privet,Ligustrum vulgare,32980,species,not found in IT IS maybe less common name,NA
32,Common serviceberry,Amelanchier arborea,25110,species,,0
442,Common serviceberry,Amelanchier arborea,25110,species,NA,NA
168,Common spicebush,Lindera benzoin,18147,species,,0
597,Common spicebush,Lindera benzoin,18147,species,Not found | internet says Lindera benzoin,NA
87,Cornelian-cherry dogwood,Cornus mas,565094,species,,0
543,Cornelian-cherry dogwood,Cornus mas,565094,species,not found in ITIS | found in NCSU,NA
546,Cornus macrophylla,Cornus macrophylla,896096,species,NA,NA
88,Cornus mas,Cornus mas,565094,species,,0
485,Cornus mas,Cornus mas,565094,species,NA,NA
89,Cornus stolonifera,Cornus sericea,501637,species,,0
400,Cornus stolonifera,Cornus sericea ssp. sericea,27818,species,not an accepted name by ITIS,NA
816,Cottonwood and poplar,NA,NA,species,two plants in one,NA
433,Crapemyrtle,Lagerstroemia indica,27110,species,Wild crapemyrtle vs crapemyrtle,NA
159,Crepe myrtle,Lagerstroemia†indica,27110,species,,0
791,Crepe myrtle,Lagerstroemia,27109,genus,should not be spaced,NA
189,Cucumber magnolia,Magnolia†acuminata,18071,species,,0
512,Cucumber magnolia,Magnolia acuminata,18071,species,Name not found in ITIS | found in NCSU,NA
800,Cypress,Cupressus,183455,genus,two genus names,NA
100,Cyrilla racemiflora,Cyrilla racemiflora,23449,species,,0
674,Cyrilla racemiflora,Cyrilla racemiflora,23449,species,NA,NA
79,Dogwood,Cornus,27798,genus,,0
378,Dogwood,Cornus,27798,genus,a lot of options,NA
35,Dwarf pawpaw,Asimina pygmea,18114,species,,0
506,Dwarf pawpaw,Asimina pygmea,18114,species,NA,NA
801,Eastern cottonwood,Populus deltoides,22445,species,NA,NA
331,Eastern hemlock,Tsuga canadensis,183397,species,,1
558,Eastern hemlock,Tsuga canadensis,183397,species,NA,NA
220,Eastern hophornbeam,Ostrya virginiana,19511,species,,0
472,Eastern hophornbeam,Ostrya virginiana,19511,species,NA,NA
72,Eastern redbud,Cercis canadensis,25782,species,,0
431,Eastern redbud,Cercis canadensis,25782,species,NA,NA
50,Eastern sweetshrub,Calycanthus floridus,18142,species,,0
711,Eastern sweetshrub,Calycanthus floridus,18142,species,NA,NA
228,Eastern white pine,Pinus strobus,183385,species,,1
559,Eastern white pine,Pinus strobus,183385,species,NA,NA
104,Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species,,0
705,Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species,NA,NA
311,Elderberry,Sambucus,35315,species,,0
561,Elderberry,Sambucus,35315,genus,NA,NA
333,Elm,Ulmus,19048,genus,,0
418,Elm,Ulmus,19048,genus,A lot of options but most had NA under common name,NA
776,Eriobotrya japonica,Eriobotrya japonica,502403,species,NA,NA
107,Euonymus alatus,Euonymus alatus,27946,species,,0
714,Euonymus alatus,Euonymus alatus,27946,species,NA,NA
740,Euonymus japonicus,Euonymus japonicus,894987,species,NA,NA
112,European beech,Fagus sylvatica,502590,species,,0
658,European beech,Fagus sylvatica,502590,species,NA,NA
811,European horse chestnut,Aesculus hippocastanum,28721,species,Not found but found on NCSU and the internet,NA
108,European spindletree,Euonymus europaeus,27949,species,,0
549,European spindletree,Euonymus europaeus,27949,species,NA,NA
113,Fagus sylvatica,Fagus sylvatica,502590,species,,0
500,Fagus sylvatica,Fagus sylvatica,502590,species,NA,NA
98,Fanleaf hawthorn,Crataegus flabellata,24561,species,,0
648,Fanleaf hawthorn,Crataegus flabellata,24561,species,NA,NA
699,Feijoa sellowiana,Feijoa sellowiana,506165,species,not an accepted scientific name,NA
116,Ficus,Ficus,19081,species,,0
697,Ficus,Ficus,19081,species,multiple options given some with NA,NA
117,Fig,Ficus,19081,species,,0
664,Fig,Ficus,19081,genus,R gave unknown common names,NA
756,Fishpole bamboo,Phyllostachys aurea,42023,species,Not found | found on NSCU,NA
290,Florida azalea,Rhododendron austrinum,23705,species,,0
594,Florida azalea,Rhododendron austrinum,23705,species,NA,NA
118,Florida forestiera,Forestiera†segregata,32959,species,,0
634,Florida forestiera,Forestiera segregata,32959,species,??? For sure Forestiera,NA
4,Florida maple,Acer floridanum,183691,species,,0
436,Florida maple,Acer floridanum,183691,species,NA,NA
83,Flowering dogwood,Cornus florida,27806,species,,0
409,Flowering dogwood,Cornus florida,27806,species,NA,NA
119,Forsythia,Forsythia,32961,species,,0
525,Forsythia,Forsythia,32961,genus,NA,NA
76,Fragrant wintersweet,Chimonanthus praecox,NA,species,,0
547,Fragrant wintersweet,Chimonanthus praecox,NA,species,not found in ITIS | found in NCSU,NA
287,Frangula alnus,Rhamnus†frangula,28579,species,,0
622,Frangula alnus,Rhamnus frangula,28579,species,Not accepted name,NA
790,Franklin tree,Franklinia alatamaha,21384,species,two options between a genus and scientific name | looked at NCSU,NA
190,Fraser magnolia,Magnolia†fraseri,18073,species,,0
625,Fraser's magnolia,Magnolia fraseri,18073,species,NA,NA
798,Fremont cottonwood,Populus fermontii,22459,species,misspelling- Fermont's cottonwood,NA
77,Fringetree,Chionanthus,32948,genus,,0
507,Fringetree,Chionanthus,32948,species,NA,NA
125,Gardenia,Gardenia,35159,genus,,0
718,Gardenia,Gardenia,35159,genus,NA,NA
127,Gaylussacia baccata,Gaylussacia baccata,23660,species,,0
519,Gaylussacia baccata,Gaylussacia baccata,23660,species,NA,NA
128,Ginkgo,Ginkgo,183264,genus,,0
411,Ginkgo,Ginkgo,183264,species,NA,NA
157,Golden rain tree,Koelreuteria elegans,503285,species,,0
578,Golden rain tree,Koelreuteria elegans,503285,species,NA,NA
45,Gray birch,Betula populifolia,19497,species,,0
690,Gray birch,Betula populifolia,19497,species,NA,NA
297,Great rhododendron,Rhododendron†maximum,23721,species,,0
624,Great rhododendron,Rhododendron maximum,23721,species,Different common name that's not commonly used? Also called great laurel,NA
738,Green alder,Alnus viridis,181892,species,NA,NA
124,Green ash,Fraxinus pennsylvanica,32929,species,,0
462,Green ash,Fraxinus pennsylvanica,32929,species,NA,NA
92,Grey dogwood,Cornus†racemosa,501635,species,,0
656,Grey dogwood,Cornus racemosa,501635,species,misspelling-Gray,NA
754,Groundsel tree,Baccharis halimifolia,35682,species,Not found but known on NCSU,NA
749,Gum bumelia,Sideroxylon lanuginosum ssp. lanuginosum,524695,species,NA,NA
69,Hackberry,Celtis,19039,genus,,0
389,Hackberry,Celtis,19039,genus,NA,NA
131,Halesia tetraptera,Halesia†tetraptera,502868,species,,0
410,Halesia tetraptera,Halesia carolina,502868,species,not an accepted name by ITIS,NA
134,Hamamelis virginiana,Hamamelis virginiana,19033,species,,0
404,Hamamelis virginiana,Hamamelis virginiana,19033,species,NA,NA
96,Hawthorn,Crataegus,24539,genus,,0
453,Hawthorn,Crataegus,24539,genus,NA,NA
29,Hazel alder,Alnus serrulata,19468,species,,0
498,Hazel alder,Alnus serrulata,19468,species,NA,NA
93,Hazelnut,Corylus,19505,genus,,0
474,Hazelnut,Corylus,19505,genus,NA,NA
46,Heartleaf birch,Betula†cordifolia,195222,species,,0
729,Heartleaf birch,Betula cordifolia,195222,species,"less common name? also called Hear-leaved birch, etc.?",NA
753,Heavenly bamboo,Nandina domestica,18848,species,NA,NA
3,Hedge maple,Acer campestre,28739,species,,0
564,Hedge maple,Acer campestre,28739,species,NA,NA
820,Hibiscus coccineus albus,Hibiscus coccineus,21625,species,"""White swamp hibiscus"" = 'Albus'",NA
822,Hibiscus moscheutos,Hibiscus moscheutos,21612,species,NA,NA
55,Hickory,Carya,19223,genus,,0
393,Hickory,Carya,19223,genus,NA,NA
343,Highbush blueberry,Vaccinium corymbosum,23573,species,,0
483,Highbush blueberry,Vaccinium corymbosum,23573,species,NA,NA
782,Honey locust,Gleditsia triacanthos,26714,species,NA,NA
129,Honeylocust,Gleditsia,26711,genus,,0
448,Honeylocust,Gleditsia,26711,genus,NA,NA
176,Honeysuckle,Lonicera,35281,genus,,0
383,Honeysuckle,Lonicera,35281,genus,multiple options,NA
219,Hophornbeam,Ostrya,19508,genus,,0
375,Hophornbeam,Ostrya,19508,genus,NA,NA
52,Hornbeam,Carpinus,19503,genus,,0
589,Hornbeam,Carpinus,19503,genus,NA,NA
18,Horned maple,Acer†diabolicum,837851,species,,0
569,Horned maple,Acer diabolicum,837851,species,Not found in IT IS | NCSU Plants CES has it,NA
806,Horse chestnut,Aesculus hippocastanum,28721,species,NA,NA
126,Huckleberry,Gaylussacia,23659,genus,,0
473,Huckleberry,Gaylussacia,23659,genus,Between two genuses: Vaccinium and Gaylussacia | G. found more in eastern NA,NA
138,Hydrangea,Hydrangea,24194,genus,,0
384,Hydrangea,Hydrangea,24194,species,NA,NA
139,Hydrangea quercifolia,Hydrangea quercifolia,24200,species,,0
489,Hydrangea quercifolia,Hydrangea quercifolia,24200,species,NA,NA
819,Ilex ambigua,Ilex ambigua,27987,species,NA,NA
142,Ilex glabra,Ilex glabra,27981,species,,0
673,Ilex glabra,Ilex glabra,27981,species,NA,NA
147,Ilex verticillata,Ilex verticillata,27985,species,,0
479,Ilex verticillata,Ilex verticillata,27985,species,NA,NA
149,Ilex vomitoria,Ilex vomitoria,27986,species,,0
571,Ilex vomitoria,Ilex vomitoria,27986,species,NA,NA
702,Illicium,Illicium,18082,genus,NA,NA
435,Ironwood,NA,NA,species,Parrotia vs. Eusideroxylon,NA
150,Itea virginica,Itea virginica,24202,species,,0
691,Itea virginica,Itea virginica,24202,species,NA,NA
247,Japanese apricot,Prunus mume,506231,species,,0
539,Japanese apricot,Prunus mume,506231,species,NA,NA
785,Japanese cherry,Prunus serrulata,506233,species,uncommon common name-japanese flowering cherry,NA
114,Japanese knotweed,Fallopia japonica,565897,species,,0
607,Japanese knotweed,Fallopia japonica,565897,species,NA,NA
11,Japanese maple,Acer palmatum,182136,species,,0
382,Japanese maple,Acer palmatum,182136,species,NA,NA
163,Japanese privet,Ligustrum japonicum,503449,species,,0
536,Japanese privet,Ligustrum japonicum,503449,species,NA,NA
317,Japanese snowbell,Styrax japonicus,505974,species,,0
542,Japanese snowbell,Styrax japonicus,505974,species,NA,NA
757,Japanese spindle tree,Euonymus japonicus,894987,species,Not found bc misspelling: spindletree| found on NSCU,NA
364,Japanese zelkova,Zelkova serrata,505790,species,,0
555,Japanese zelkova,Zelkova serrata,505790,species,NA,NA
298,Jetbead,Rhodotypos scandens,25298,species,,0
610,Jetbead,Rhodotypos scandens,25298,species,NA,NA
154,Kalmia latifolia,Kalmia latifolia,23677,species,,0
562,Kalmia latifolia,Kalmia latifolia,23677,species,NA,NA
156,Kalopanax septemlobus,Kalopanax septemlobus,565257,species,,0
486,Kalopanax septemlobus,Kalopanax septemlobus,565257,species,NA,NA
78,Kentucky yellowwood,Cladrastis kentukea,26539,species,,0
491,Kentucky yellowwood,Cladrastis kentukea,26539,species,NA,NA
158,Koelreuteria paniculata,Koelreuteria paniculata,503286,species,,0
723,Koelreuteria paniculata,Koelreuteria paniculata,503286,species,NA,NA
85,Kousa dogwood,Cornus kousa,507498,species,,0
659,Kousa dogwood,Cornus kousa,507498,species,NA,NA
251,Kwanzan cherry,Prunus†serrulata,506233,species,,0
654,Kwanzan cherry,Prunus,24762,genus,"not found, seems to be a common name but no taxonomy",NA
267,Laurel oak,Quercus laurifolia,19368,species,,0
586,Laurel oak,Quercus laurifolia,19368,species,NA,NA
750,Leatherleaf mahonia,Berberis bealei,509499,species,Not found | more commonly known as Beale's barberry,NA
161,Leucothoe axillaris,Leucothoe axillaris,23550,species,,0
675,Leucothoe axillaris,Leucothoe axillaris,23550,species,NA,NA
319,Lilac,Syringa,32994,genus,,0
390,Lilac,Syringa,32994,genus,Tree or bush?,NA
169,Lindera benzoin,Lindera benzoin,18147,species,,0
601,Lindera benzoin,Lindera benzoin,18147,species,NA,NA
327,Littleleaf linden,Tilia cordata,505507,species,,0
694,Littleleaf linden,Tilia cordata,505507,species,NA,NA
282,Live oak,Quercus virginiana,19283,species,,0
396,Live oak,Quercus virginiana,19283,species,NA,NA
797,Loblolly pine,Pinus taeda,18037,species,NA,NA
187,Loebner magnolia,Magnolia X loebneri,NA,species,,0
563,Loebner magnolia,Magnolia,18069,genus,?? Not found | a hybrid,NA
745,Lombardy poplar,Populus nigra,22468,species,Misspelling-Lombardy's poplar,NA
177,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,528895,species,,0
639,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,528895,species,NA,NA
789,Lonicera involucrata,Lonicera involucrata,35297,species,NA,NA
178,Lonicera japonica,Lonicera japonica,35283,species,,0
430,Lonicera japonica,Lonicera japonica,35283,species,NA,NA
181,Maackia amurensis,Maackia amurensis,506254,species,,0
727,Maackia amurensis,Maackia amurensis,506254,species,NA,NA
183,Magnolia,Magnolia,18069,genus,,0
429,Magnolia,Magnolia,18069,genus,NA,NA
703,Magnolia figo,Liriodendron chinense,895289,species,Not found but NSCU does recognize it | some websites suggest Chinese tulip tree as another common name so this scientific name,NA
193,Malus,Malus,25254,genus,,0
651,Malus,Malus,25254,genus,NA,NA
200,Malus sargentii,Malus†sargentii,507499,species,,0
412,Malus sargentii,Malus sieboldii,507499,species,not an accepted name by ITIS,NA
199,Malus siberica,Malus†baccata,25256,species,,0
482,Malus siberica,Malus baccata,25256,species,Unknown by a lot but wikipedia indicates it is an old name for Malus baccata,NA
1,Maple,Acer,28727,genus,,0
417,Maple,Acer,28727,species,NA,NA
443,Maple leaf viburnum,Viburnum acerifolium,35255,species,Misspelling or unaccepted spelling so not found,NA
350,Mapleleaf viburnum,Viburnum acerifolium,35255,species,,0
631,Mapleleaf viburnum,Viburnum acerifolium,35255,species,NA,NA
188,Merrill magnolia,Magnolia X loebneri,NA,species,,0
583,Merrill magnolia,Magnolia,18069,genus,???a hybrid magnolia,NA
62,Mockernut hickory,Carya tomentosa,19247,species,,0
515,Mockernut hickory,Carya tomentosa,19247,species,NA,NA
227,Monterey pine,Pinus radiata,183372,species,,1
728,Monterey pine,Pinus radiata,183372,species,NA,NA
201,Morella caroliniensis,Morella caroliniensis,507898,species,,0
521,Morella caroliniensis,Morella caroliniensis,507898,species,NA,NA
203,Morella cerifera,Morella cerifera,507899,species,,0
573,Morella cerifera,Morella cerifera,507899,species,NA,NA
230,Mountain ash,Piptocarpha tetrantha,38860,species,,0
732,Mountain ash,Piptocarpha tetrantha,38860,species,NA,NA
143,Mountain holly,Ilex montana,28002,species,,0
627,Mountain holly,Ilex montana,28002,species,NA,NA
155,Mountain laurel,Kalmia latifolia,23677,species,,0
556,Mountain laurel,Kalmia latifolia,23677,species,NA,NA
766,Mountain maple,Acer spicatum,28758,species,two options: Acer glabrum vs. A. spicatum |,NA
191,Mountain or fraser magnolia,Magnolia†fraseri,18073,species,,0
144,Mountain winterberry,Ilex montana,28002,species,,0
646,Mountain winterberry,Ilex montana,28002,species,NA,NA
207,Mulberry,Morus,19064,genus,,0
603,Mulberry,Morus,19064,genus,NA,NA
305,Multiflora rose,Rosa multiflora,24833,species,,0
613,Multiflora rose,Rosa multiflora,24833,species,NA,NA
206,Myrica cerifera,Morella†cerifera,507899,species,,0
478,Myrica cerifera,Morella cerifera,507899,species,Not accepted name,NA
810,Myrobalan plum,Prunus cerasifera,24772,species,NA,NA
793,Na,NA,NA,species,Unknown,NA
214,Nandina domestica,Nandina domestica,18848,species,,0
719,Nandina domestica,Nandina domestica,18848,species,NA,NA
741,Nerium oleander,Nerium oleander,30184,species,NA,NA
67,Northern catalpa,Catalpa speciosa,34315,species,,0
661,Northern catalpa,Catalpa speciosa,34315,species,other suggested Castanea pumila  seems to be associated with chinquapin USDA,NA
279,Northern red oak,Quercus rubra,19408,species,,0
434,Northern red oak,Quercus rubra,19408,species,NA,NA
