cleanedName,sciName,itis_id,rank,notes,isConifer
Beech,Fagus,19461,genus,NA,
Bigleaf snowbell,Styrax grandifolius,505399,species,NA,
Bigtooth aspen,Populus grandidentata,22463,species,NA,
Birch,Betula,19478,genus,lots of options but just chose the genus,
Bitternut hickory,Carya cordiformis,19227,species,NA,
Black ash,Fraxinus nigra,32945,species,NA,
Black birch,Betula lenta,19487,species,a not often used common name? more commonly called sweet birch,
Black cherry,Prunus serotina,24764,species,NA,
Black gum,Nyssa sylvatica,27821,species,NA,
Black haw,Viburnum prunifolium,35253,species,misspelling-Blackhaw,
Black locust,Robinia pseudoacacia,504804,species,NA,
Black maple,Acer nigrum,182135,species,NA,
Black mulberry,Morus nigra,19069,species,NA,
Black oak,Quercus velutina,19447,species,NA,
Black walnut,Juglans nigra,19254,species,NA,
Black willow,Salix nigra,22484,species,NA,
Blackgum,Nyssa sylvatica,27821,species,NA,
Blackhaw,Viburnum prunifolium,35253,species,Choices between blackhaw and rusty blackhaw,
Blackjack oak,Quercus marilandica,19374,species,NA,
Blue beech,Carpinus caroliniana,19504,species,Unknown by ITIS | NCSU plants CES,
Blue spruce,Picea pungens,183307,species,NA,
Blueberry,Vaccinium,23571,genus,NA,
Bottlebrush buckeye,Aesculus parviflora,28722,species,NA,
Boxelder,Acer negundo,28749,species,a lot,
Brambles,Rubus,24848,genus,NA,
Broadleaf hawthorn,Crataegus coccinioides,24550,species,not accepted name,
Buckeye,Aesculus,28714,genus,NA,
Buckthorn,Rhamnus,28561,genus,NA,
Buffalo nut,Pyrularia pubera,504705,species,NA,
Bur oak,Quercus macrocarpa,19287,species,NA,
Bush honeysuckle,Diervilla,35309,genus,NA,
Buttonwood-mangrove,Conocarpus erectus,27766,species,maybe misspelled-Button mangrove,
Buxus,Buxus,28022,genus,Found Buxus but no options given,
Buxus sempervirens,Buxus sempervirens,501097,species,NA,
California laurel,Umbellularia,18207,species,NA,
California live oak,Quercus agrifolia,19289,species,NA,
Callery pear,Pyrus calleryana,504706,species,NA,
Callicarpa americana,Callicarpa americana,32144,species,NA,
Calycanthus,Calycanthus,18139,genus,NA,
Camellia,Camellia,500689,genus,NA,
Camptotheca,Camptotheca,500635,species,NA,
Canyon grape,Vitis arizonica,28612,species,NA,
Carolina ash,Fraxinus caroliniana,32941,species,NA,
Carolina cherry laurel,Prunus caroliniana,24771,species,Missordering of cerry and laurel,
Carolina hemlock,Tsuga caroliniana,183399,species,NA,
Carolina laurel cherry,Prunus caroliniana,24771,species,Misspelling-laurelcherry,
Carolina laurelcherry,Prunus caroliniana,24771,species,NA,
Carolina silverbell,Halesia carolina,23864,species,NA,
Carpinus,Carpinus,19503,species,NA,
Catalpa,Catalpa,34312,genus,NA,
Catawba rhododendron,Rhododendron catawbiense,23714,species,NA,
Catberry,Ilex mucronata,835359,species,NA,
Chalk maple,Acer leucoderme,28761,species,NA,
Cherry,Prunus,24762,genus,lots of options but I believe just genus,
Cherry and plum,Prunus cerasifera,24772,species,perhaps cherry plum?,
Cherry laurel,Prunus laurocerasus,24786,species,NA,
Cherrybark oak,Quercus pagoda,195195,species,NA,
Chestnut oak,Quercus prinus,19379,species,Not found in ITIS,
Chinese chestnut,Castanea mollissima,501318,species,NA,
Chinese evergreen oak,Quercus glauca,845168,species,not found | internet says these it correlates with Quercus myrsinifolia,
Chinese holly,Ilex cornuta,503155,species,NA,
Chinese privet,Ligustrum sinense,32979,species,NA,
Chinese quince,Chaenomeles sinensis,565928,species,not found in IT IS and not accepted | found in NCSU,
Chinese tallowtree,Triadica sebifera,522777,species,"A space was needed between ""tallow"" and ""tree""",
Chokecherry,Prunus,24762,genus,NA,
Clerya,Mulinia cleryana,80960,species,NA,
Coastal azalea,Rhododendron atlanticum,23704,species,not found | also goes by dwarf azalea,
Cockspur hawthorn,Crataegus crus-galli,24552,species,NA,
Common buckthorn,Rhamnus cathartica,28573,species,NA,
Common buttonbush,Cephalanthus occidentalis,34786,species,NA,
Common gardenia,Gardenia volkensii,845972,species,NA,
Common ninebark,Physocarpus opulifolius,25282,species,NA,
Common persimmon,Diospyros virginiana,23855,species,NA,
Common privet,Ligustrum vulgare,32980,species,not found in IT IS maybe less common name,
Common serviceberry,Amelanchier arborea,25110,species,NA,
Common spicebush,Lindera benzoin,18147,species,Not found | internet says Lindera benzoin,
Cornelian-cherry dogwood,Cornus mas,565094,species,not found in ITIS | found in NCSU,
Cornus macrophylla,Cornus macrophylla,896096,species,NA,
Cornus mas,Cornus mas,565094,species,NA,
Cornus stolonifera,Cornus sericea ssp. sericea,27818,species,not an accepted name by ITIS,
Cottonwood and poplar,NA,NA,species,two plants in one,
Crapemyrtle,Lagerstroemia indica,27110,species,Wild crapemyrtle vs crapemyrtle,
Crepe myrtle,Lagerstroemia,27109,genus,,
Cucumber magnolia,Magnolia acuminata,18071,species,Name not found in ITIS | found in NCSU,
Cypress,Cupressus,183455,genus,two genus names,
Cyrilla racemiflora,Cyrilla racemiflora,23449,species,NA,
Dogwood,Cornus,27798,genus,a lot of options,
Dwarf pawpaw,Asimina pygmea,18114,species,NA,
Eastern cottonwood,Populus deltoides,22445,species,NA,
Eastern hemlock,Tsuga canadensis,183397,species,NA,
Eastern hophornbeam,Ostrya virginiana,19511,species,NA,
Eastern redbud,Cercis canadensis,25782,species,NA,
Eastern sweetshrub,Calycanthus floridus,18142,species,NA,
Eastern white pine,Pinus strobus,183385,species,NA,
Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species,NA,
Elderberry,Sambucus,35315,genus,NA,
Elm,Ulmus,19048,genus,A lot of options but most had NA under common name,
Eriobotrya japonica,Eriobotrya japonica,502403,species,NA,
Euonymus alatus,Euonymus alatus,27946,species,NA,
Euonymus japonicus,Euonymus japonicus,894987,species,NA,
European beech,Fagus sylvatica,502590,species,NA,
European horse chestnut,Aesculus hippocastanum,28721,species,Not found but found on NCSU and the internet,
European spindletree,Euonymus europaeus,27949,species,NA,
Fagus sylvatica,Fagus sylvatica,502590,species,NA,
Fanleaf hawthorn,Crataegus flabellata,24561,species,NA,
Feijoa sellowiana,Feijoa sellowiana,506165,species,not an accepted scientific name,
Ficus,Ficus,19081,species,multiple options given some with NA,
Fig,Ficus,19081,genus,R gave unknown common names,
Fishpole bamboo,Phyllostachys aurea,42023,species,Not found | found on NSCU,
Florida azalea,Rhododendron austrinum,23705,species,NA,
Florida forestiera,Forestiera segregata,32959,species,??? For sure Forestiera,
Florida maple,Acer floridanum,183691,species,NA,
Flowering dogwood,Cornus florida,27806,species,NA,
Forsythia,Forsythia,32961,genus,NA,
Fragrant wintersweet,Chimonanthus praecox,NA,species,not found in ITIS | found in NCSU,
Frangula alnus,Rhamnus frangula,28579,species,Not accepted name,
Franklin tree,Franklinia alatamaha,21384,species,two options between a genus and scientific name | looked at NCSU,
Fraser's magnolia,Magnolia fraseri,18073,species,NA,
Fremont cottonwood,Populus fermontii,22459,species,misspelling- Fermont's cottonwood,
Fringetree,Chionanthus,32948,species,NA,
Gardenia,Gardenia,35159,genus,NA,
Gaylussacia baccata,Gaylussacia baccata,23660,species,NA,
Ginkgo,Ginkgo,183264,species,NA,
Golden rain tree,Koelreuteria elegans,503285,species,NA,
Gray birch,Betula populifolia,19497,species,NA,
Great rhododendron,Rhododendron maximum,23721,species,Different common name that's not commonly used? Also called great laurel,
Green alder,Alnus viridis,181892,species,NA,
Green ash,Fraxinus pennsylvanica,32929,species,NA,
Grey dogwood,Cornus racemosa,501635,species,misspelling-Gray,
Groundsel tree,Baccharis halimifolia,35682,species,Not found but known on NCSU,
Gum bumelia,Sideroxylon lanuginosum ssp. lanuginosum,524695,species,NA,
Hackberry,Celtis,19039,genus,NA,
Halesia tetraptera,Halesia carolina,502868,species,not an accepted name by ITIS,
Hamamelis virginiana,Hamamelis virginiana,19033,species,NA,
Hawthorn,Crataegus,24539,genus,NA,
Hazel alder,Alnus serrulata,19468,species,NA,
Hazelnut,Corylus,19505,genus,NA,
Heartleaf birch,Betula cordifolia,195222,species,"less common name? also called Hear-leaved birch, etc.?",
Heavenly bamboo,Nandina domestica,18848,species,NA,
Hedge maple,Acer campestre,28739,species,NA,
Hibiscus coccineus albus,Hibiscus coccineus,21625,species,"""White swamp hibiscus"" = 'Albus'",
Hibiscus moscheutos,Hibiscus moscheutos,21612,species,NA,
Hickory,Carya,19223,genus,NA,
Highbush blueberry,Vaccinium corymbosum,23573,species,NA,
Honey locust,Gleditsia triacanthos,26714,species,NA,
Honeylocust,Gleditsia,26711,genus,NA,
Honeysuckle,Lonicera,35281,genus,multiple options,
Hophornbeam,Ostrya,19508,genus,NA,
Hornbeam,Carpinus,19503,genus,NA,
Horned maple,Acer diabolicum,837851,species,Not found in IT IS | NCSU Plants CES has it,
Horse chestnut,Aesculus hippocastanum,28721,species,NA,
Huckleberry,Gaylussacia,23659,genus,Between two genuses: Vaccinium and Gaylussacia | G. found more in eastern NA,
Hydrangea,Hydrangea,24194,species,NA,
Hydrangea quercifolia,Hydrangea quercifolia,24200,species,NA,
Ilex ambigua,Ilex ambigua,27987,species,NA,
Ilex glabra,Ilex glabra,27981,species,NA,
Ilex verticillata,Ilex verticillata,27985,species,NA,
Ilex vomitoria,Ilex vomitoria,27986,species,NA,
Illicium,Illicium,18082,genus,NA,
Ironwood,NA,NA,species,Parrotia vs. Eusideroxylon,
Itea virginica,Itea virginica,24202,species,NA,
Japanese apricot,Prunus mume,506231,species,NA,
Japanese cherry,Prunus serrulata,506233,species,uncommon common name-japanese flowering cherry,
Japanese knotweed,Fallopia japonica,565897,species,NA,
Japanese maple,Acer palmatum,182136,species,NA,
Japanese privet,Ligustrum japonicum,503449,species,NA,
Japanese snowbell,Styrax japonicus,505974,species,NA,
Japanese spindle tree,Euonymus japonicus,894987,species,Not found bc misspelling: spindletree| found on NSCU,
Japanese zelkova,Zelkova serrata,505790,species,NA,
Jetbead,Rhodotypos scandens,25298,species,NA,
Kalmia latifolia,Kalmia latifolia,23677,species,NA,
Kalopanax septemlobus,Kalopanax septemlobus,565257,species,NA,
Kentucky yellowwood,Cladrastis kentukea,26539,species,NA,
Koelreuteria paniculata,Koelreuteria paniculata,503286,species,NA,
Kousa dogwood,Cornus kousa,507498,species,NA,
Kwanzan cherry,Prunus,24762,genus,"not found, seems to be a common name but no taxonomy",
Laurel oak,Quercus laurifolia,19368,species,NA,
Leatherleaf mahonia,Berberis bealei,509499,species,Not found | more commonly known as Beale's barberry,
Leucothoe axillaris,Leucothoe axillaris,23550,species,NA,
Lilac,Syringa,32994,genus,Tree or bush?,
Lindera benzoin,Lindera benzoin,18147,species,NA,
Littleleaf linden,Tilia cordata,505507,species,NA,
Live oak,Quercus virginiana,19283,species,NA,
Loblolly pine,Pinus taeda,18037,species,NA,
Loebner magnolia,Magnolia,18069,genus,?? Not found | a hybrid,
Lombardy poplar,Populus nigra,22468,species,Misspelling-Lombardy's poplar,
Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,528895,species,NA,
Lonicera involucrata,Lonicera involucrata,35297,species,NA,
Lonicera japonica,Lonicera japonica,35283,species,NA,
Maackia amurensis,Maackia amurensis,506254,species,NA,
Magnolia,Magnolia,18069,genus,NA,
Magnolia figo,Liriodendron chinense,895289,species,Not found but NSCU does recognize it | some websites suggest Chinese tulip tree as another common name so this scientific name,
Malus,Malus,25254,genus,NA,
Malus sargentii,Malus sieboldii,507499,species,not an accepted name by ITIS,
Malus siberica,Malus baccata,25256,species,Unknown by a lot but wikipedia indicates it is an old name for Malus baccata,
Maple,Acer,28727,species,NA,
Maple leaf viburnum,Viburnum acerifolium,35255,species,Misspelling or unaccepted spelling so not found,
Mapleleaf viburnum,Viburnum acerifolium,35255,species,NA,
Merrill magnolia,Magnolia,18069,genus,???a hybrid magnolia,
Mockernut hickory,Carya tomentosa,19247,species,NA,
Monterey pine,Pinus radiata,183372,species,NA,
Morella caroliniensis,Morella caroliniensis,507898,species,NA,
Morella cerifera,Morella cerifera,507899,species,NA,
Mountain ash,Piptocarpha tetrantha,38860,species,NA,
Mountain holly,Ilex montana,28002,species,NA,
Mountain laurel,Kalmia latifolia,23677,species,NA,
Mountain maple,Acer spicatum,28758,species,two options: Acer glabrum vs. A. spicatum |,
Mountain winterberry,Ilex montana,28002,species,NA,
Mulberry,Morus,19064,genus,NA,
Multiflora rose,Rosa multiflora,24833,species,NA,
Myrica cerifera,Morella cerifera,507899,species,Not accepted name,
Myrobalan plum,Prunus cerasifera,24772,species,NA,
Na,NA,NA,species,Unknown,
Nandina domestica,Nandina domestica,18848,species,NA,
Nerium oleander,Nerium oleander,30184,species,NA,
Northern catalpa,Catalpa speciosa,34315,species,other suggested Castanea pumila  seems to be associated with chinquapin USDA,
Northern red oak,Quercus rubra,19408,species,NA,
Northern spicebush,Lindera benzoin,18147,species,NA,
Northern white-cedar,Thuja occidentalis,505490,species,misspelling no hyphon needed,
Norway maple,Acer platanoides,28755,species,NA,
Norway spruce,Picea abies,183289,species,NA,
Nothoscordum gracile (onionweed),Nothoscordum gracile,503967,species,The common name was in parantheses,
Nutmeg hickory,Carya myristiciformis,19239,species,NA,
Oak,Quercus,19276,genus,NA,
Oakleaf hydrangea,Hydrangea quercifolia,24200,species,NA,
Ohio buckeye,Aesculus glabra,28718,species,NA,
Olea,Olea,32989,genus,a genus?,
Olive quihoui??,NA,NA,species,user unsure,
Oregon crab apple,Malus fusca,25258,species,NA,
Oriental bittersweet,Celastrus orbiculatus,506068,species,NA,
Osage orange,Maclura pomifera,19102,species,NA,
Osmanthus fragrans,Osmanthus fragrans,505977,species,NA,
Overcup oak,Quercus lyrata,19278,species,NA,
Ozark witch hazel,Hamamelis vernalis,19032,species,Misspelling,
Pacific madrone,Arbutus menziesii,23627,species,NA,
Paper birch,Betula papyrifera,19489,species,NA,
Pawpaw,Asimina,18108,genus,NA,
Peach,Prunus persica,24765,species,NA,
Pear,Pyrus,25294,genus,A lot of options but most had NA under common name,
Pecan,Carya illinoinensis,19234,species,NA,
Persian ironwood,Parrotia persica,895220,species,NA,
Persimmon,Diospyros,23853,genus,NA,
Piedmont azalea,Rhododendron flammeum,23717,species,Two names on IT IS| R. canescens called mountain azalea USDA,
Pignut hickory,Carya glabra,19231,species,NA,
Pin cherry,Prunus pensylvanica,24799,species,NA,
Pin oak,Quercus palustris,19281,species,NA,
Pitch pine,Pinus rigida,183376,species,between couple names,
Plumleaf azalea,Rhododendron prunifolium,23728,species,NA,
Podocarpus,Podocarpus,183488,genus,NA,
Possumhaw,Ilex decidua,27998,species,NA,
Possumhaw viburnum,Viburnum nudum,35252,species,NA,
Post oak,Quercus stellata,19422,species,NA,
Prairie crab apple,Malus ioensis,25259,species,NA,
Privet,Ligustrum,32973,genus,"Different options between ""privet"" Ligusticum and Ligustrum and included Ligustrum sempevirens| suggested by USDA Ligustrum",
Prunus,Prunus,24762,genus,NA,
Prunus laurocerasus,Prunus laurocerasus,24786,species,NA,
Prunus maritima,Prunus maritima,24790,species,NA,
Prunus salicina,Prunus salicina,506232,species,NA,
Prunus sargentii,Pseudophoenix sargentii ssp. Sargentii,524598,species,not found can be found on NCSU | possibly Sargent's cherry PALM,
Prunus serulata (japanese cherry blossom),Prunus serrulata,506233,species,not picked up bc common name in (),
Prunus spp. (apricot),Prunus armeniaca,24769,species,didn't register bc of common name in (),
Prunus spp. (cherry),Prunus,24762,genus,didn't register bc of common name in (),
Prunus spp.(plum),Prunus,24762,genus,didn't register bc of common name in (),
Prunus umbellata,Prunus umbellata,24805,species,NA,
Punica,Punica,27277,genus,NA,
Pussy willow,Salix discolor,22524,species,NA,
Quaking aspen,Populus tremuloides,195773,species,NA,
Quercus hemispherica,Quercus hemisphaerica,195108,species,misspelling in hem…,
Quercus montana,Quercus montana,19379,species,NA,
Quercus nuttallii,Quercus texana,195188,species,not an accepted scientific name,
Quercus robur,Quercus robur,19405,species,NA,
Quihoui???,NA,NA,species,user unsure,
Raisin,Hovenia dulcis,28554,species,NA,
Red buckeye,Aesculus pavia,28723,species,NA,
Red elderberry,Sambucus racemosa,35326,species,NA,
Red maple,Acer rubrum,28728,species,NA,
Red mulberry,Morus rubra,19070,species,NA,
Red oak,Quercus,19276,genus,blank red oak not just red oak,
Redbay,Persea borbonia,18149,species,NA,
Redosier dogwood,Cornus sericea,501637,species,NA,
Reeves spiraea,Spiraea catoniensis,505334,species,Not found | found on NSCU,
Rhamnus cathartica,Rhamnus cathartica,28573,species,NA,
Rhododendron,Rhododendron,23700,species,NA,
Rhododendron austrinum,Rhododendron austrinum,23705,species,NA,
Rhododendron canescens,Rhododendron canescens,23712,species,NA,
Rhus copallinum,Rhus copallinum,504754,species,NA,
Rhus glabra,Rhus glabra,28782,species,NA,
Rhus typhina,Rhus typhina,28777,species,NA,
River birch,Betula nigra,19480,species,NA,
Rosa,Rosa,24807,species,NA,
Rosa acicularis,Rosa acicularis,24812,species,NA,
Rose,Rosa,24807,genus,given NA for common names and no just plain rose,
Rose of sharon,Hibiscus syriacus,21638,species,NA,
Roughleaf dogwood,Cornus drummondii,27807,species,NA,
Rubus idaeus,Rubus idaeus,24947,species,NA,
Russian-olive,Elaeagnus angustifolia,27770,species,NA,
Sassafras,Sassafras,18157,genus,NA,
Scarlet oak,Quercus coccinea,19288,species,NA,
Scrub oak,Quercus berberidifolia,507263,species,NA,
Serviceberry,Amelanchier,25108,species,NA,
Shagbark hickory,Carya ovata,19242,species,NA,
Shellbark hickory,Carya laciniosa,19235,species,Two species recommended |USDA and NCSU recommends Caray laciniosa,
Shingle oak,Quercus imbricaria,19359,species,NA,
Shining willow,Salix lucida,22554,species,NA,
Shortleaf pine,Pinus echinata,183335,species,NA,
Shumard oak,Quercus shumardii,19417,species,Two species name given also sometimes referred to as Shumard's Oak | Q. texana seems to refer more to Texas red oak and Nutall's oak,
Siberian elm,Ulmus pumila,19057,species,NA,
Silky dogwood,Cornus amomum,27799,species,NA,
Silver maple,Acer saccharinum,28757,species,NA,
Silver poplar,Populus alba,22451,species,not found | internet says also called silverleaf or white poplar,
Silverbell,Halesia,23863,species,NA,
Slippery elm,Ulmus rubra,19050,species,NA,
Sour cherry,Prunus cerasus,24773,species,NA,
Sourwood,Oxydendrum,23689,species,NA,
Southern bayberry,Morella caroliniensis,507898,species,NA,
Southern catalpa,Catalpa bignonioides,34313,species,NA,
Southern crab apple,Malus angustifolia,25255,species,NA,
Southern crabapple,Malus angustifolia,25255,species,NA,
Southern magnolia,Magnolia grandiflora,18074,species,NA,
Southern red oak,Quercus falcata,19277,species,NA,
Southern sugar maple,Acer barbatum,28759,species,Not found in ITIS,
Speckled alder,Alnus incana ssp. Rugosa,181888,species,Between two subspecies (tenuifolia and rugosa) | USDA says tenuifolia refers to thinleaf alder,
Speckled japanese aralla,Fatsia japonica,505935,species,wrong/not often used common name | more often refused to speckled web or japanese aralia,
Spicebush,Lindera,18146,genus,NA,
Spruce pine,Pinus glabra,183342,species,multiple species names given | but Pinus clausa said by USDA says sand pine,
Staghorn sumac,Rhus typhina,28777,species,NA,
Stewartia rostrata,Stewartia,21389,genus,Stewartia rostrata is found on NCSU,
Stiff dogwood,Cornus foemina,27802,species,NA,
Strawberry bush,Euonymus americanus,27947,species,NA,
Stretchberry,Forestiera pubescens,32957,species,NA,
Striped maple,Acer pensylvanicum,28754,species,NA,
Sugar maple,Acer saccharum,28731,species,Between Acer grandidentatum (big tooth maple?) and A. saccharum (sugar maple?) | answer from USDA plant list,
Sugarberry,Celtis laevigata,19042,species,Given two names C. laevigata and E. anacua | NCSU gives another option and USDA gives one nomral option,
Sumac,Rhus,28772,genus,NA,
Sumac?,NA,NA,species,user unsure,
Swamp chestnut oak,Quercus michauxii,19279,species,NA,
Swamp white oak,Quercus bicolor,19300,species,NA,
Sweet birch,Betula lenta,19487,species,NA,
Sweet cherry,Prunus avium,24770,species,NA,
Sweet crab apple,Malus coronaria,25257,species,NA,
Sweetbay,Magnolia virginiana,18070,species,NA,
Sweetbay magnolia,Magnolia virginiana,18070,species,no matches|found at NCSU and internet,
Sweetgum,Liquidambar,19026,species,NA,
Sycamore,Platanus,19019,genus,NA,
Symplocos tinctoria,Symplocos tinctoria,23878,species,NA,
Syringa reticulata,Syringa reticulata,507196,species,NA,
Syringa vulgaris,Syringa vulgaris,32996,species,NA,
Tamarack,Larix laricina,183412,species,Between Larix laricina and L. lyallii | tamarack seems to more commonly refer to L. laricina,
Tanoak,Lithocarpus,19463,genus,NA,
Tatarian honeysuckle,Lonicera tatarica,35306,species,NA,
Texas sophora,Sophora affinis,26958,species,Not accepted name,
Tilia cordata,Tilia cordata,505507,species,NA,
Tilia tomentosa,Tilia tomentosa,845764,species,NA,
Tilia x europaea,Tilia X europaea,21538,species,NA,
Tree privet,Ligustrum lucidum,503450,species,NA,
Trident maple,Acer buergerianum,837859,species,NA,
Tulip poplar,Liriodendron tulipifera,18086,species,NA,
Tuliptree,Liriodendron,18085,species,NA,
Tungoil tree,Vernicia fordii,505662,species,NA,
Turkey oak,Quercus laevis,19367,species,NA,
Ulmus,Ulmus,19048,genus,NA,
Ulmus carpinifolia,Ulmus procera,19056,species,a former name/synonym,
Umbrella magnolia,Magnolia tripetala,18077,species,NA,
Vaccineum stamineum,Vaccinium stamineum,23615,species,Misspelling,
Vaccinium,Vaccinium,23571,species,NA,
Vaccinium caesariense,Vaccinium corymbosum,23573,species,Unknown/no longer accepted name but USDA indicates New Jersey blueberry,
Vaccinium corymbosum,Vaccinium corymbosum,23573,species,NA,
Vibirnum dentatum,Viburnum dentatum,35251,species,Misspelling,
Viburnum,Viburnum,35249,genus,NA,
Viburnum awabuki,Viburnum odoratissimum,505678,species,Not found | match on NCSU | there's a variant of V. odoratissimum var. awabuki,
Viburnum cassinoide,Viburnum nudum var. cassinoides,35250,species,not an accepted name by ITIS,
Viburnum dentatum,Viburnum dentatum,35251,species,NA,
Viburnum dilatatum,Viburnum dilatatum,505677,species,NA,
Viburnum lentago,Viburnum lentago,35266,species,NA,
Viburnum nudum,Viburnum nudum,35252,species,NA,
Viburnum plicatum,Viburnum plicatum,35272,species,NA,
Viburnum rhytidophyllum,Viburnum rhytidophyllum,505679,species,NA,
Viburnum rufidulum,Viburnum rufidulum,35274,species,NA,
Viburnum tinus,Viburnum tinus,505680,species,NA,
Viburnum trilobum,Viburnum opulus var. americanum,35280,species,not an accepted name by ITIS,
Virginia pine,Pinus virginiana,183394,species,NA,
Virginia sweetspire,Itea virginica,24202,species,NA,
Wafer ash,Ptelea trifoliata,28992,species,"Name not found but USDA and NCSU refer to wafer-ash, etc.",
Walnut,Juglans,19248,genus,NA,
Washington hawthorn,Crataegus phaenopyrum,24593,species,NA,
Water oak,Quercus nigra,19280,species,NA,
Water tupelo,Nyssa aquatica,27824,species,NA,
Wax myrtle,Morella cerifera,507899,species,NA,
Weeping cherry,Prunus cerasus,24773,species,Unknown by ITIS | NCSU plants CES,
Weeping knoss dogwood,Cornus kousa,507498,species,Misspelling? To Weeping Kousa Dogwood,
Weeping willow,Salix babylonica,837788,species,NA,
White ash,Fraxinus americana,32931,species,NA,
White birch,Betula,19478,genus,"lots of different options that are ""blank white birch"" not plain white birch",
White cedar,Chamaecyparis,18045,genus,Multiple common names of white cedar but only one with just a Genus,
White elm,Ulmus americana,19049,species,Not found in IT IS | NCSU Plants CES has it,
White fir,"Abies amabilis, A. concolor, A.procera, etc.",NA,species,NA,
White mulberry,Morus alba,19066,species,NA,
White oak,Quercus alba,19290,species,NA,
White spruce,Picea glauca,183295,species,Multiple options given some with multiple common names,
White-cedar,Chamaecyparis thyoides,18046,species,NA,
Willow,Salix,22476,genus,NA,
Willow oak,Quercus phellos,19282,species,NA,
Wineberry,Rubus phoenicolasius,25017,species,NA,
Winged elm,Ulmus alata,19051,species,NA,
Winged eonymous,Euonymus alatus,27946,species,misspelled-Winged euonymus,
Winged euonymus,Euonymus alatus,27946,species,NA,
Winterberry,Euonymus bungeanus,894990,species,not accepted name,
Wisteria,Wisteria,27019,genus,NA,
Witch hazel,Hamamelidaceae,19025,species,NA,
witch-hazel,Hamamelis virginiana,19033,species,NA,
Yaupon,Ilex vomitoria,27986,species,NA,
Yeddo euonymous,Euonymus hamiltonianus ssp. Sieboldianus,895058,species,Misspelling but also known as Euonymus yedoensis according to oldhouseweb.com,
Yellow birch,Betula alleghaniensis,19481,species,NA,
Yellow buckeye,Aesculus flava,837871,species,Misspelling? Not read by ITIS,
Yellow-poplar,Liriodendron tulipifera,18086,species,NA,
Yew,Taxus,194882,genus,NA,
Yucca rostrata,Yucca rostrata,43150,species,NA,
Zelkova serrata,Zelkova serrata,505790,species,NA,
